AL111951,                JIG,     20,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19511015, 0600,  , TS, 27.7N,  76.0W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19511015, 1200,  , HU, 29.0N,  75.5W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19511015, 1800,  , HU, 30.3N,  74.9W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19511016, 0000,  , HU, 31.1N,  74.4W,  65,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19511016, 0600,  , HU, 31.5N,  73.9W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19511016, 1200,  , TS, 31.7N,  73.3W,  60, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19511016, 1800,  , TS, 32.0N,  72.6W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19511017, 0000,  , TS, 32.4N,  71.9W,  55,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19511017, 0600,  , TS, 32.9N,  71.0W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19511017, 1200,  , TS, 33.4N,  70.2W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19511017, 1800,  , TS, 33.6N,  69.9W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19511018, 0000,  , EX, 33.8N,  70.3W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19511018, 0600,  , EX, 33.7N,  71.1W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19511018, 1200,  , EX, 33.5N,  72.0W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19511018, 1800,  , EX, 33.2N,  72.3W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19511019, 0000,  , EX, 32.2N,  72.6W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19511019, 0600,  , EX, 31.6N,  72.7W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19511019, 1200,  , EX, 31.0N,  72.1W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19511019, 1800,  , EX, 30.4N,  71.3W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19511020, 0000,  , EX, 29.8N,  70.7W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
