AL031961,              CARLA,     51,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19610903, 1200,  , TD, 12.5N,  77.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610903, 1800,  , TD, 12.9N,  78.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610904, 0000,  , TD, 13.3N,  78.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610904, 0600,  , TD, 13.7N,  79.5W,  25, 1007, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610904, 1200,  , TD, 14.2N,  80.1W,  25, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610904, 1800,  , TD, 14.9N,  80.7W,  25, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610905, 0000,  , TD, 15.5N,  81.4W,  30, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610905, 0600,  , TD, 15.9N,  82.1W,  30,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610905, 1200,  , TS, 16.3N,  82.7W,  40,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610905, 1800,  , TS, 16.9N,  83.1W,  45,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610906, 0000,  , TS, 17.4N,  83.6W,  50,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610906, 0600,  , TS, 18.1N,  84.3W,  55,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610906, 1200,  , HU, 18.8N,  85.1W,  65,  984, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610906, 1800,  , HU, 19.1N,  85.6W,  70,  981, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610907, 0000,  , HU, 19.5N,  85.9W,  75,  978, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610907, 0600,  , HU, 20.2N,  86.0W,  80,  975, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610907, 1200,  , HU, 20.9N,  86.0W,  85,  973, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610907, 1800,  , HU, 21.7N,  86.3W,  95,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610908, 0000,  , HU, 22.3N,  87.3W, 100,  968, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610908, 0600,  , HU, 22.8N,  87.8W, 105,  966, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610908, 1200,  , HU, 23.1N,  88.3W, 110,  965, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610908, 1800,  , HU, 23.4N,  89.2W, 110,  962, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610909, 0000,  , HU, 23.7N,  89.8W, 110,  959, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610909, 0600,  , HU, 24.0N,  90.2W, 110,  956, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610909, 1200,  , HU, 24.6N,  91.0W, 110,  953, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610909, 1800,  , HU, 24.9N,  91.8W, 110,  948, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610910, 0000,  , HU, 25.6N,  92.6W, 110,  944, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610910, 0600,  , HU, 26.1N,  93.3W, 115,  940, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610910, 1200,  , HU, 26.3N,  93.9W, 120,  937, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610910, 1800,  , HU, 26.7N,  94.5W, 130,  936, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610911, 0000,  , HU, 27.0N,  95.0W, 140,  936, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610911, 0600,  , HU, 27.2N,  95.7W, 150,  936, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610911, 1200,  , HU, 27.6N,  96.2W, 145,  935, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610911, 1800,  , HU, 28.0N,  96.4W, 125,  931, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610912, 0000,  , HU, 28.6N,  96.8W, 100,  940, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610912, 0600,  , HU, 29.5N,  97.2W,  80,  955, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610912, 1200,  , TS, 30.5N,  97.4W,  60,  975, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610912, 1800,  , TS, 31.8N,  97.4W,  45,  979, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
