AL041961,             DEBBIE,     40,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19610906, 1800,  , TS, 15.1N,  24.1W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610907, 0000,  , HU, 15.2N,  25.4W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610907, 0600,  , HU, 15.4N,  26.7W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610907, 1200,  , HU, 15.7N,  28.1W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610907, 1800,  , HU, 16.1N,  29.4W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610908, 0000,  , HU, 16.5N,  30.7W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610908, 0600,  , HU, 17.0N,  32.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610908, 1200,  , HU, 17.5N,  33.2W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610908, 1800,  , HU, 18.0N,  34.5W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610909, 0000,  , HU, 18.5N,  35.7W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610909, 0600,  , HU, 19.1N,  37.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610909, 1200,  , HU, 19.7N,  38.2W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610909, 1800,  , HU, 20.4N,  39.4W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610910, 0000,  , HU, 21.2N,  40.6W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610910, 0600,  , HU, 22.0N,  41.8W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610910, 1200,  , HU, 22.8N,  43.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610910, 1800,  , HU, 23.8N,  44.1W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610911, 0000,  , HU, 25.0N,  45.0W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610911, 0600,  , HU, 26.6N,  45.7W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610911, 1200,  , HU, 27.9N,  45.9W, 100,  976, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610911, 1800,  , HU, 29.3N,  45.9W, 105, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610912, 0000,  , HU, 30.5N,  45.9W, 105, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610912, 0600,  , HU, 31.5N,  45.9W, 105, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610912, 1200,  , HU, 32.2N,  45.8W, 105,  975, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610912, 1800,  , HU, 33.0N,  45.6W, 105, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610913, 0000,  , HU, 33.9N,  45.3W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610913, 0600,  , HU, 34.7N,  45.1W,  85,  980, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610913, 1200,  , HU, 35.2N,  44.2W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610913, 1800,  , HU, 35.5N,  43.1W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610914, 0000,  , HU, 35.9N,  41.1W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610914, 0600,  , HU, 36.2N,  38.9W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610914, 1200,  , HU, 36.6N,  36.5W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610914, 1800,  , HU, 37.0N,  34.1W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610915, 0000,  , HU, 37.8N,  31.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610915, 0600,  , HU, 39.5N,  26.4W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610915, 1200,  , HU, 41.7N,  22.2W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610915, 1800,  , HU, 44.6N,  18.2W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610916, 0000,  , HU, 48.0N,  14.8W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610916, 0600,  , HU, 51.9N,  11.6W,  70,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610916, 1200,  , HU, 55.7N,   8.5W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
