AL051961,             ESTHER,     67,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19610910, 1800,  , TD, 11.7N,  32.1W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610911, 0000,  , TD, 12.4N,  33.9W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610911, 0600,  , TD, 13.5N,  35.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610911, 1200,  , TS, 14.4N,  36.7W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610911, 1800,  , TS, 15.2N,  38.1W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610912, 0000,  , TS, 16.0N,  39.4W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610912, 0600,  , HU, 16.8N,  40.8W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610912, 1200,  , HU, 17.6N,  42.0W,  65,  975, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610912, 1800,  , HU, 18.4N,  43.1W,  70,  967, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610913, 0000,  , HU, 19.1N,  44.2W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610913, 0600,  , HU, 19.6N,  45.3W,  90,  969, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610913, 1200,  , HU, 19.8N,  46.4W, 105,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610913, 1800,  , HU, 20.0N,  47.4W, 110,  983, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610914, 0000,  , HU, 20.1N,  48.4W, 110, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610914, 0600,  , HU, 20.2N,  49.4W, 110, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610914, 1200,  , HU, 20.3N,  50.5W, 110,  975, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610914, 1800,  , HU, 20.5N,  51.3W, 110,  966, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610915, 0000,  , HU, 20.7N,  52.1W, 110,  965, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610915, 0600,  , HU, 21.1N,  53.4W, 110,  965, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610915, 1200,  , HU, 21.6N,  54.7W, 110,  966, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610915, 1800,  , HU, 21.8N,  56.1W, 110,  961, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610916, 0000,  , HU, 22.0N,  57.4W, 110,  960, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610916, 0600,  , HU, 22.3N,  58.7W, 105,  956, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610916, 1200,  , HU, 22.7N,  60.0W, 105,  949, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610916, 1800,  , HU, 23.3N,  61.3W, 105,  944, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610917, 0000,  , HU, 23.8N,  62.6W, 105,  939, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610917, 0600,  , HU, 24.1N,  63.9W, 110,  934, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610917, 1200,  , HU, 24.4N,  65.2W, 110,  930, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610917, 1800,  , HU, 24.8N,  66.2W, 115,  927, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610918, 0000,  , HU, 25.4N,  66.9W, 120,  928, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610918, 0600,  , HU, 26.1N,  67.8W, 120,  932, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610918, 1200,  , HU, 27.0N,  68.6W, 125,  938, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610918, 1800,  , HU, 28.0N,  69.4W, 125,  944, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610919, 0000,  , HU, 29.0N,  70.1W, 125,  948, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610919, 0600,  , HU, 30.0N,  71.0W, 125,  945, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610919, 1200,  , HU, 31.0N,  71.9W, 125,  942, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610919, 1800,  , HU, 32.0N,  72.6W, 125,  950, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610920, 0000,  , HU, 33.0N,  73.1W, 120,  947, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610920, 0600,  , HU, 34.0N,  73.4W, 120,  957, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610920, 1200,  , HU, 35.0N,  73.3W, 120,  949, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610920, 1800,  , HU, 36.3N,  73.0W, 120,  955, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610921, 0000,  , HU, 37.8N,  72.5W, 115,  968, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610921, 0600,  , HU, 39.2N,  71.8W, 110,  972, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610921, 1200,  , HU, 40.4N,  71.1W, 110,  978, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610921, 1800,  , HU, 40.9N,  70.7W, 105, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610922, 0000,  , TS, 40.9N,  70.1W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610922, 0600,  , TS, 40.9N,  69.1W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610922, 1200,  , TS, 40.8N,  67.9W,  45,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610922, 1800,  , TS, 40.4N,  66.6W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610923, 0000,  , TS, 39.7N,  65.4W,  60,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610923, 0600,  , TS, 38.8N,  64.8W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610923, 1200,  , TS, 37.9N,  64.9W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610923, 1800,  , TS, 37.0N,  65.3W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610924, 0000,  , TS, 36.1N,  65.9W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610924, 0600,  , TS, 35.6N,  66.6W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610924, 1200,  , TS, 35.7N,  67.4W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610924, 1800,  , TS, 36.1N,  68.4W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610925, 0000,  , TS, 36.7N,  69.5W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610925, 0600,  , TS, 37.4N,  70.2W,  45,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610925, 1200,  , TS, 38.1N,  70.5W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610925, 1800,  , TS, 38.9N,  70.5W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610926, 0000,  , TS, 40.0N,  70.3W,  40,  996, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610926, 0600,  , TS, 42.2N,  70.1W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610926, 1200,  , TD, 44.7N,  69.8W,  30, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610926, 1800,  , TD, 46.6N,  69.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610927, 0000,  , EX, 48.2N,  68.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19610927, 0600,  , EX, 50.0N,  67.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
