AL091961,             HATTIE,     20,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19611027, 1200,  , TS, 11.6N,  81.5W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19611027, 1800,  , TS, 12.0N,  81.6W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19611028, 0000,  , HU, 12.8N,  81.7W,  65,  991, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19611028, 0600,  , HU, 12.9N,  81.7W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19611028, 1200,  , HU, 13.5N,  81.6W, 105,  991, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19611028, 1800,  , HU, 14.1N,  81.5W, 110,  969, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19611029, 0000,  , HU, 15.0N,  81.4W, 110,  952, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19611029, 0600,  , HU, 16.1N,  81.2W, 110, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19611029, 1200,  , HU, 16.9N,  81.3W, 110,  963, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19611029, 1800,  , HU, 17.7N,  81.9W, 110, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19611030, 0000,  , HU, 18.2N,  82.4W, 115,  956, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19611030, 0600,  , HU, 18.5N,  83.8W, 120,  942, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19611030, 1200,  , HU, 18.4N,  84.1W, 130,  937, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19611030, 1800,  , HU, 18.2N,  85.2W, 140, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19611031, 0000,  , HU, 17.9N,  86.1W, 140,  920, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19611031, 0600,  , HU, 17.6N,  87.1W, 140, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19611031, 1200,  , HU, 17.2N,  88.1W, 120,  930, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19611031, 1800,  , TS, 16.9N,  88.9W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19611101, 0000,  , TS, 16.6N,  89.6W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19611101, 0600,  , TS, 15.7N,  90.1W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
