AL031962,              CELIA,     40,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19620912, 0000,  , TD, 15.9N,  45.9W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620912, 0600,  , TD, 16.0N,  46.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620912, 1200,  , TD, 16.2N,  47.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620912, 1800,  , TS, 16.4N,  48.7W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620913, 0000,  , TS, 16.6N,  49.8W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620913, 0600,  , TS, 17.0N,  51.2W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620913, 1200,  , TS, 17.5N,  52.6W,  60,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620913, 1800,  , TS, 17.9N,  53.9W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620914, 0000,  , TS, 18.4N,  55.1W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620914, 0600,  , TS, 18.8N,  56.2W,  45, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620914, 1200,  , TS, 19.3N,  57.3W,  45, 1007, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620914, 1800,  , TS, 19.7N,  58.0W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620915, 0000,  , TS, 20.1N,  58.6W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620915, 0600,  , TS, 20.8N,  59.4W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620915, 1200,  , TD, 21.6N,  60.1W,  30, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620915, 1800,  , TD, 23.1N,  60.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620916, 0000,  , TD, 24.6N,  60.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620916, 0600,  , TD, 26.0N,  60.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620916, 1200,  , TD, 27.5N,  60.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620916, 1800,  , TD, 28.7N,  59.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620917, 0000,  , TD, 29.7N,  58.9W,  25, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620917, 0600,  , TD, 30.1N,  57.6W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620917, 1200,  , TD, 29.8N,  56.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620917, 1800,  , TD, 30.0N,  55.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620918, 0000,  , TD, 30.3N,  53.6W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620918, 0600,  , TD, 30.5N,  52.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620918, 1200,  , TD, 30.0N,  51.6W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620918, 1800,  , TD, 29.6N,  51.8W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620919, 0000,  , TD, 29.1N,  52.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620919, 0600,  , TS, 29.2N,  52.5W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620919, 1200,  , TS, 29.2N,  52.8W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620919, 1800,  , TS, 29.3N,  53.6W,  40, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620920, 0000,  , TS, 29.6N,  54.4W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620920, 0600,  , TD, 30.7N,  55.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620920, 1200,  , TD, 31.9N,  55.5W,  25, 1009, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620920, 1800,  , TD, 32.7N,  55.2W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620921, 0000,  , TD, 33.6N,  54.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620921, 0600,  , TD, 35.8N,  53.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620921, 1200,  , EX, 38.0N,  52.6W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620921, 1800,  , EX, 40.7N,  52.1W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
