AL041962,              DAISY,     41,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19620929, 0600,  , TD, 14.5N,  48.9W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620929, 1200,  , TD, 14.8N,  50.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620929, 1800,  , TD, 15.0N,  52.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620930, 0000,  , TD, 15.2N,  54.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620930, 0600,  , TD, 15.5N,  55.6W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620930, 1200,  , TD, 15.8N,  57.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19620930, 1800,  , TD, 16.3N,  58.8W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19621001, 0000,  , TD, 16.9N,  59.9W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19621001, 0600,  , TD, 17.4N,  60.7W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19621001, 1200,  , TD, 17.8N,  61.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19621001, 1800,  , TD, 19.0N,  62.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19621002, 0000,  , TD, 20.3N,  62.6W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19621002, 0600,  , TD, 21.3N,  62.8W,  30, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19621002, 1200,  , TS, 21.8N,  63.2W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19621002, 1800,  , TS, 22.5N,  63.8W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19621003, 0000,  , TS, 22.8N,  64.4W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19621003, 0600,  , TS, 23.1N,  65.1W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19621003, 1200,  , TS, 23.3N,  65.6W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19621003, 1800,  , HU, 23.6N,  66.3W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19621004, 0000,  , HU, 23.9N,  67.0W,  65,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19621004, 0600,  , HU, 24.1N,  67.3W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19621004, 1200,  , HU, 24.3N,  68.1W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19621004, 1800,  , HU, 24.8N,  68.9W,  70,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19621005, 0000,  , HU, 25.5N,  69.4W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
