AL011963,             ARLENE,     43,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19630731, 1800,  , TD, 11.0N,  39.4W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630801, 0000,  , TD, 11.0N,  40.9W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630801, 0600,  , TD, 11.1N,  42.2W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630801, 1200,  , TD, 11.2N,  43.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630801, 1800,  , TD, 11.3N,  44.8W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630802, 0000,  , TS, 11.5N,  46.0W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630802, 0600,  , TS, 12.4N,  47.4W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630802, 1200,  , HU, 13.3N,  48.7W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630802, 1800,  , HU, 14.3N,  49.9W,  90,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630803, 0000,  , HU, 14.9N,  50.8W,  80,  996, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630803, 0600,  , HU, 15.2N,  52.3W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630803, 1200,  , HU, 15.5N,  53.9W,  65, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630803, 1800,  , HU, 15.9N,  55.3W,  65,  988, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630804, 0000,  , TS, 16.3N,  56.7W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630804, 0600,  , TS, 16.7N,  58.0W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630804, 1200,  , TD, 17.4N,  59.2W,  30, 1007, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630804, 1800,  , TD, 18.2N,  60.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630805, 0000,  , TD, 19.1N,  61.4W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
