AL021963,             BEULAH,     34,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19630820, 1200,  , TD, 13.7N,  49.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630820, 1800,  , TD, 14.3N,  50.9W,  30, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630821, 0000,  , TD, 15.0N,  51.7W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630821, 0600,  , TS, 15.5N,  52.8W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630821, 1200,  , TS, 16.0N,  53.5W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630821, 1800,  , TS, 16.5N,  54.6W,  45, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630822, 0000,  , TS, 16.8N,  55.4W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630822, 0600,  , TS, 17.3N,  56.0W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630822, 1200,  , HU, 17.9N,  56.9W,  70,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630822, 1800,  , HU, 18.7N,  57.8W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630823, 0000,  , HU, 19.6N,  58.3W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630823, 0600,  , HU, 20.5N,  58.8W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630823, 1200,  , HU, 21.3N,  59.1W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630823, 1800,  , HU, 22.1N,  59.2W,  90,  962, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630824, 0000,  , HU, 22.6N,  59.4W,  95, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630824, 0600,  , HU, 23.1N,  59.6W, 105,  958, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630824, 1200,  , HU, 23.7N,  59.7W, 105, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630824, 1800,  , HU, 24.1N,  59.8W, 100,  961, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630825, 0000,  , HU, 24.8N,  60.0W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630825, 0600,  , HU, 25.6N,  60.2W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630825, 1200,  , HU, 26.6N,  60.3W,  75,  985, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630825, 1800,  , HU, 27.8N,  60.4W,  80,  976, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630826, 0000,  , HU, 29.0N,  60.2W,  80,  978, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630826, 0600,  , HU, 30.4N,  59.2W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630826, 1200,  , HU, 31.6N,  58.3W,  85,  983, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630826, 1800,  , HU, 32.9N,  57.0W,  85,  979, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630827, 0000,  , HU, 34.5N,  55.3W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630827, 0600,  , HU, 36.3N,  53.6W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630827, 1200,  , HU, 38.4N,  52.3W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630827, 1800,  , HU, 41.6N,  51.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630828, 0000,  , HU, 45.8N,  48.3W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630828, 0600,  , EX, 49.4N,  44.9W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630828, 1200,  , EX, 51.6N,  41.0W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630828, 1800,  , EX, 54.2N,  35.5W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
