AL041963,              CINDY,     15,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19630916, 1200,  , TS, 26.7N,  93.7W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630916, 1800,  , TS, 27.3N,  93.9W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630917, 0000,  , HU, 28.0N,  93.9W,  70,  996, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630917, 0600,  , HU, 28.7N,  94.1W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630917, 1200,  , HU, 29.4N,  94.4W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630917, 1800,  , HU, 29.8N,  94.4W,  65,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630918, 0000,  , HU, 30.0N,  94.6W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630918, 0600,  , TS, 30.1N,  94.9W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630918, 1200,  , TD, 30.1N,  95.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630918, 1800,  , TD, 29.9N,  95.6W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630919, 0000,  , TD, 29.5N,  96.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630919, 0600,  , TD, 29.2N,  96.4W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630919, 1200,  , TD, 28.7N,  97.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630919, 1800,  , TD, 28.4N,  97.4W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630920, 0000,  , TD, 27.8N,  98.1W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
