AL051963,              DEBRA,     23,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19630919, 0600,  , TD, 14.4N,  38.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630919, 1200,  , TD, 15.0N,  39.8W,  25, 1011, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630919, 1800,  , TD, 15.7N,  41.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630920, 0000,  , TD, 16.4N,  42.6W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630920, 0600,  , TD, 17.2N,  44.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630920, 1200,  , TD, 17.9N,  45.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630920, 1800,  , TD, 18.8N,  46.7W,  30, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630921, 0000,  , TS, 19.9N,  47.9W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630921, 0600,  , TS, 20.9N,  48.5W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630921, 1200,  , TS, 21.9N,  48.8W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630921, 1800,  , HU, 23.0N,  48.9W,  65, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630922, 0000,  , HU, 23.8N,  48.9W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630922, 0600,  , HU, 24.6N,  48.8W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630922, 1200,  , HU, 25.3N,  48.7W,  65, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630922, 1800,  , HU, 26.0N,  48.5W,  65,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630923, 0000,  , HU, 26.6N,  48.2W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630923, 0600,  , TS, 27.3N,  47.9W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630923, 1200,  , TS, 28.0N,  47.7W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630923, 1800,  , TS, 28.8N,  47.5W,  45,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630924, 0000,  , TS, 30.2N,  47.5W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630924, 0600,  , TS, 31.7N,  47.9W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630924, 1200,  , TS, 33.4N,  48.4W,  35, 1011, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630924, 1800,  , EX, 35.4N,  48.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
