AL061963,              EDITH,     24,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19630923, 1200,  , TD, 11.0N,  52.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630923, 1800,  , TD, 11.5N,  53.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630924, 0000,  , TD, 12.1N,  54.0W,  30, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630924, 0600,  , TD, 12.5N,  55.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630924, 1200,  , TS, 12.9N,  56.5W,  35, 1004, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630924, 1800,  , HU, 13.2N,  58.2W,  65, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630925, 0000,  , HU, 13.7N,  59.6W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630925, 0600,  , HU, 13.9N,  60.6W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630925, 1200,  , HU, 14.4N,  61.6W,  85,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630925, 1800,  , HU, 14.7N,  62.7W,  85,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630926, 0000,  , HU, 15.0N,  64.1W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630926, 0600,  , HU, 15.3N,  65.4W,  65,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630926, 1200,  , HU, 15.8N,  66.9W,  65, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630926, 1800,  , HU, 16.8N,  67.3W,  65, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630927, 0000,  , HU, 17.8N,  67.5W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630927, 0600,  , HU, 18.1N,  69.0W,  65,  996, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630927, 1200,  , HU, 18.7N,  69.3W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630927, 1800,  , HU, 19.5N,  69.9W,  65,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630928, 0000,  , TS, 20.2N,  70.5W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630928, 0600,  , TS, 20.7N,  70.9W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630928, 1200,  , TS, 21.3N,  71.5W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630928, 1800,  , TS, 21.8N,  72.0W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630929, 0000,  , TD, 22.6N,  72.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630929, 0600,  , TD, 23.1N,  72.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
