AL071963,              FLORA,     69,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19630926, 1200,  , TD,  8.0N,  33.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630926, 1800,  , TD,  8.1N,  34.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630927, 0000,  , TD,  8.2N,  36.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630927, 0600,  , TD,  8.3N,  38.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630927, 1200,  , TD,  8.5N,  40.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630927, 1800,  , TD,  8.7N,  41.6W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630928, 0000,  , TD,  8.8N,  43.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630928, 0600,  , TD,  9.0N,  44.7W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630928, 1200,  , TD,  9.2N,  46.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630928, 1800,  , TD,  9.5N,  47.9W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630929, 0000,  , TD,  9.8N,  49.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630929, 0600,  , TD,  9.9N,  51.1W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630929, 1200,  , TS, 10.0N,  52.8W,  40, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630929, 1800,  , TS, 10.1N,  54.4W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630930, 0000,  , HU, 10.3N,  56.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630930, 0600,  , HU, 10.4N,  57.6W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630930, 1200,  , HU, 10.7N,  59.1W, 100,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19630930, 1800,  , HU, 11.2N,  60.7W, 105,  978, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631001, 0000,  , HU, 11.6N,  62.0W, 110,  981, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631001, 0600,  , HU, 12.0N,  63.3W, 110,  981, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631001, 1200,  , HU, 12.5N,  64.8W, 115,  974, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631001, 1800,  , HU, 13.0N,  66.0W, 115,  975, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631002, 0000,  , HU, 13.6N,  67.3W, 120,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631002, 0600,  , HU, 14.1N,  68.3W, 120, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631002, 1200,  , HU, 14.6N,  69.2W, 120,  968, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631002, 1800,  , HU, 15.1N,  70.0W, 120,  968, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631003, 0000,  , HU, 15.5N,  70.6W, 120, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631003, 0600,  , HU, 15.9N,  71.4W, 125, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631003, 1200,  , HU, 16.5N,  72.0W, 125,  940, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631003, 1800,  , HU, 17.1N,  72.5W, 125,  944, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631004, 0000,  , HU, 18.0N,  73.1W, 125,  944, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631004, 0600,  , HU, 19.1N,  74.2W, 105,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631004, 1200,  , HU, 19.3N,  74.5W, 105,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631004, 1800,  , HU, 20.3N,  74.9W, 105,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631005, 0000,  , HU, 20.8N,  75.9W, 110, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631005, 0600,  , HU, 20.8N,  76.5W, 110, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631005, 1200,  , HU, 20.8N,  76.8W, 105,  985, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631005, 1800,  , HU, 20.5N,  77.0W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631006, 0000,  , HU, 20.4N,  77.4W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631006, 0600,  , HU, 20.3N,  77.6W,  95, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631006, 1200,  , HU, 20.2N,  77.9W,  90,  985, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631006, 1800,  , HU, 20.5N,  78.1W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631007, 0000,  , HU, 20.6N,  78.3W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631007, 0600,  , HU, 20.7N,  78.2W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631007, 1200,  , HU, 20.8N,  78.1W,  80,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631007, 1800,  , HU, 21.0N,  78.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631008, 0000,  , HU, 21.3N,  77.7W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631008, 0600,  , HU, 21.2N,  77.0W,  75,  989, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631008, 1200,  , HU, 21.1N,  76.2W,  70,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631008, 1800,  , HU, 21.5N,  75.4W,  75,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631009, 0000,  , HU, 21.7N,  74.4W,  75,  983, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631009, 0600,  , HU, 22.3N,  72.8W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631009, 1200,  , HU, 23.5N,  71.6W,  80,  975, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631009, 1800,  , HU, 25.0N,  70.0W,  85,  965, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631010, 0000,  , HU, 26.0N,  68.3W,  95,  965, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631010, 0600,  , HU, 27.1N,  66.5W,  95,  969, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631010, 1200,  , HU, 28.1N,  64.9W, 100,  969, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631010, 1800,  , HU, 29.9N,  62.2W, 100,  972, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631011, 0000,  , HU, 32.2N,  59.8W,  95, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631011, 0600,  , HU, 34.3N,  58.3W,  90,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631011, 1200,  , HU, 36.2N,  57.0W,  85,  963, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631011, 1800,  , HU, 38.3N,  56.0W,  80,  963, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631012, 0000,  , HU, 40.1N,  54.0W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
