AL081963,              GINNY,     56,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19631016, 1200,  , TD, 21.0N,  72.0W,  20, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631016, 1800,  , TD, 21.8N,  71.9W,  20, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631017, 0000,  , TD, 22.5N,  71.8W,  20, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631017, 0600,  , TD, 23.3N,  71.7W,  20, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631017, 1200,  , TD, 24.0N,  71.6W,  20, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631017, 1800,  , TD, 24.8N,  71.5W,  20, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631018, 0000,  , TD, 25.5N,  71.4W,  20, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631018, 0600,  , TD, 26.3N,  71.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631018, 1200,  , TD, 27.0N,  71.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631018, 1800,  , TD, 27.8N,  71.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631019, 0000,  , TD, 28.5N,  71.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631019, 0600,  , TD, 29.5N,  71.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631019, 1200,  , TS, 30.8N,  71.8W,  35, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631019, 1800,  , TS, 32.2N,  72.6W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631020, 0000,  , TS, 33.4N,  73.5W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631020, 0600,  , TS, 33.6N,  74.3W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631020, 1200,  , HU, 33.5N,  75.0W,  65,  983, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631020, 1800,  , HU, 33.8N,  75.5W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631021, 0000,  , HU, 34.0N,  75.5W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631021, 0600,  , HU, 34.2N,  75.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631021, 1200,  , HU, 34.0N,  74.5W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631021, 1800,  , HU, 33.6N,  74.2W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631022, 0000,  , HU, 33.0N,  74.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631022, 0600,  , HU, 32.2N,  74.4W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631022, 1200,  , HU, 31.5N,  74.8W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631022, 1800,  , HU, 30.8N,  75.3W,  70,  989, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631023, 0000,  , HU, 30.3N,  76.0W,  65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631023, 0600,  , TS, 29.6N,  76.9W,  60,  988, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631023, 1200,  , TS, 28.9N,  77.7W,  60,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631023, 1800,  , HU, 28.8N,  78.2W,  65,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631024, 0000,  , HU, 28.8N,  78.5W,  65,  988, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631024, 0600,  , HU, 29.0N,  79.0W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631024, 1200,  , HU, 29.4N,  79.6W,  65,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631024, 1800,  , HU, 29.8N,  79.7W,  70,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631025, 0000,  , HU, 30.3N,  79.6W,  75,  982, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631025, 0600,  , HU, 31.1N,  79.7W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
