AL091963,             HELENA,     18,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19631025, 1200,  , TD, 15.2N,  58.9W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631025, 1800,  , TS, 15.3N,  59.4W,  35, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631026, 0000,  , TS, 15.4N,  60.1W,  40, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631026, 0600,  , TS, 15.5N,  60.6W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631026, 1200,  , TD, 15.6N,  61.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631026, 1800,  , TD, 15.7N,  61.6W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631027, 0000,  , TD, 15.7N,  62.1W,  30, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631027, 0600,  , TD, 15.9N,  62.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631027, 1200,  , TS, 16.1N,  62.3W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631027, 1800,  , TS, 16.5N,  62.1W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631028, 0000,  , TS, 16.9N,  61.9W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631028, 0600,  , TS, 17.2N,  61.4W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631028, 1200,  , TS, 17.5N,  61.0W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631028, 1800,  , TS, 18.0N,  60.5W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631029, 0000,  , TD, 18.6N,  60.1W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631029, 0600,  , TD, 19.3N,  60.0W,  20, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631029, 1200,  , TD, 20.0N,  60.0W,  20, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19631029, 1800,  , TD, 20.8N,  59.9W,  15, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
