AL041964,             BRENDA,     13,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19640807, 1800,  , TD, 32.0N,  69.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640808, 0000,  , TD, 32.1N,  67.6W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640808, 0600,  , TD, 32.2N,  66.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640808, 1200,  , TS, 32.4N,  64.9W,  45, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640808, 1800,  , TS, 32.0N,  63.4W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640809, 0000,  , TS, 31.4N,  62.0W,  45, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640809, 0600,  , TS, 31.5N,  61.3W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640809, 1200,  , TS, 31.9N,  60.6W,  45, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640809, 1800,  , TS, 32.9N,  60.1W,  45, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640810, 0000,  , TS, 33.7N,  59.2W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640810, 0600,  , TS, 34.4N,  57.8W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640810, 1200,  , TS, 35.2N,  56.5W,  40, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640810, 1800,  , TS, 36.1N,  55.5W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
