AL051964,               CLEO,     64,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19640820, 1800,  , TD, 13.1N,  44.3W,  30, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640821, 0000,  , TS, 13.4N,  46.8W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640821, 0600,  , TS, 13.7N,  49.1W,  40, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640821, 1200,  , HU, 14.1N,  51.3W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640821, 1800,  , HU, 14.4N,  53.5W,  70,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640822, 0000,  , HU, 14.9N,  55.7W,  75,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640822, 0600,  , HU, 15.3N,  57.8W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640822, 1200,  , HU, 15.7N,  59.7W, 110,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640822, 1800,  , HU, 16.0N,  61.9W, 115,  962, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640823, 0000,  , HU, 16.2N,  63.4W, 120,  955, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640823, 0600,  , HU, 16.3N,  65.0W, 125, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640823, 1200,  , HU, 16.5N,  66.6W, 130, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640823, 1800,  , HU, 16.7N,  68.0W, 135,  950, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640824, 0000,  , HU, 16.7N,  69.5W, 135,  950, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640824, 0600,  , HU, 16.9N,  70.6W, 135, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640824, 1200,  , HU, 17.1N,  71.8W, 135, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640824, 1800,  , HU, 17.8N,  73.1W, 130, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
