AL061964,               DORA,     75,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19640828, 1200,  , TD, 14.0N,  18.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640828, 1800,  , TD, 13.6N,  20.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640829, 0000,  , TD, 13.1N,  22.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640829, 0600,  , TD, 12.8N,  24.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640829, 1200,  , TD, 12.4N,  26.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640829, 1800,  , TD, 12.1N,  27.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640830, 0000,  , TD, 11.8N,  29.6W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640830, 0600,  , TD, 11.7N,  31.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640830, 1200,  , TD, 11.5N,  33.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640830, 1800,  , TD, 11.4N,  35.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640831, 0000,  , TD, 11.2N,  37.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640831, 0600,  , TD, 11.1N,  39.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640831, 1200,  , TD, 11.0N,  41.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640831, 1800,  , TD, 11.1N,  42.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640901, 0000,  , TD, 11.3N,  44.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640901, 0600,  , TD, 11.5N,  45.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640901, 1200,  , TS, 11.7N,  47.0W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640901, 1800,  , TS, 12.7N,  48.7W,  55,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640902, 0000,  , TS, 13.3N,  49.6W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640902, 0600,  , TS, 14.2N,  51.2W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640902, 1200,  , TS, 15.3N,  53.0W,  60,  996, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640902, 1800,  , TS, 16.5N,  54.9W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640903, 0000,  , HU, 17.8N,  56.5W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640903, 0600,  , HU, 18.2N,  57.3W,  85,  984, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640903, 1200,  , HU, 18.7N,  58.0W,  90,  984, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640903, 1800,  , HU, 19.6N,  58.9W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640904, 0000,  , HU, 20.5N,  59.5W,  95,  981, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640904, 0600,  , HU, 21.1N,  59.9W,  95,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640904, 1200,  , HU, 21.6N,  60.3W,  95,  976, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640904, 1800,  , HU, 22.2N,  60.8W,  95,  973, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640905, 0000,  , HU, 22.8N,  61.2W,  95, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640905, 0600,  , HU, 23.4N,  61.6W,  95, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640905, 1200,  , HU, 24.0N,  62.1W, 100,  971, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640905, 1800,  , HU, 24.8N,  62.9W, 105,  960, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640906, 0000,  , HU, 25.5N,  63.6W, 110, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640906, 0600,  , HU, 26.1N,  64.4W, 115,  942, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640906, 1200,  , HU, 26.7N,  65.2W, 115, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640906, 1800,  , HU, 27.1N,  66.1W, 110,  958, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640907, 0000,  , HU, 27.4N,  67.0W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640907, 0600,  , HU, 27.8N,  67.9W,  95, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640907, 1200,  , HU, 28.0N,  69.0W,  95,  964, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640907, 1800,  , HU, 28.1N,  70.2W,  95,  956, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640908, 0000,  , HU, 28.2N,  71.8W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640908, 0600,  , HU, 28.5N,  73.0W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640908, 1200,  , HU, 28.6N,  74.4W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640908, 1800,  , HU, 28.6N,  75.9W, 100,  963, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640909, 0000,  , HU, 28.8N,  77.4W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640909, 0600,  , HU, 29.0N,  78.3W, 100,  972, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640909, 1200,  , HU, 29.4N,  79.4W, 100,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640909, 1800,  , HU, 29.7N,  80.0W, 100,  962, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640910, 0000,  , HU, 29.8N,  80.7W, 100,  964, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640910, 0600,  , HU, 29.9N,  81.4W,  95,  966, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640910, 1200,  , HU, 30.0N,  82.4W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640910, 1800,  , HU, 30.1N,  83.1W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640911, 0000,  , HU, 30.1N,  83.5W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640911, 0600,  , TS, 30.2N,  84.0W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640911, 1200,  , TS, 30.5N,  84.5W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640911, 1800,  , TS, 31.1N,  84.9W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640912, 0000,  , TS, 31.5N,  85.0W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640912, 0600,  , TS, 31.6N,  84.8W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640912, 1200,  , TS, 31.5N,  84.6W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640912, 1800,  , TS, 31.9N,  83.3W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640913, 0000,  , TS, 32.2N,  82.2W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640913, 0600,  , TS, 32.9N,  81.0W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640913, 1200,  , TS, 33.7N,  79.8W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640913, 1800,  , TS, 34.4N,  77.9W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640914, 0000,  , TS, 35.6N,  75.3W,  50,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640914, 0600,  , TS, 36.9N,  73.3W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640914, 1200,  , EX, 38.0N,  71.5W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
