AL071964,              ETHEL,     49,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19640904, 0600,  , TD, 17.7N,  35.4W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640904, 1200,  , TS, 18.0N,  37.0W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640904, 1800,  , TS, 18.4N,  38.4W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640905, 0000,  , TS, 18.8N,  39.9W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640905, 0600,  , TS, 19.2N,  41.5W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640905, 1200,  , TS, 19.5N,  43.0W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640905, 1800,  , TS, 19.9N,  44.7W,  35, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640906, 0000,  , TS, 20.3N,  46.4W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640906, 0600,  , TS, 21.2N,  47.9W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640906, 1200,  , TS, 22.0N,  49.5W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640906, 1800,  , TS, 22.8N,  51.0W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640907, 0000,  , TS, 23.5N,  52.5W,  45, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640907, 0600,  , HU, 24.4N,  54.3W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640907, 1200,  , HU, 25.3N,  56.0W,  65, 1007, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640907, 1800,  , HU, 26.1N,  57.5W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640908, 0000,  , HU, 26.9N,  59.0W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640908, 0600,  , HU, 27.3N,  59.7W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640908, 1200,  , HU, 27.5N,  60.3W,  70,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640908, 1800,  , HU, 27.6N,  60.8W,  75,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640909, 0000,  , HU, 27.6N,  61.2W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640909, 0600,  , HU, 27.7N,  61.5W,  90,  989, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640909, 1200,  , HU, 27.7N,  62.4W,  95,  984, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640909, 1800,  , HU, 27.7N,  63.2W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640910, 0000,  , HU, 27.6N,  64.0W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640910, 0600,  , HU, 27.4N,  64.8W,  95, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640910, 1200,  , HU, 27.2N,  65.6W,  90,  976, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640910, 1800,  , HU, 27.3N,  66.0W,  85,  977, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640911, 0000,  , HU, 27.4N,  66.2W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640911, 0600,  , HU, 27.8N,  66.3W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640911, 1200,  , HU, 28.2N,  66.5W,  75,  983, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640911, 1800,  , HU, 28.9N,  66.8W,  75,  977, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640912, 0000,  , HU, 29.7N,  67.0W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640912, 0600,  , HU, 30.3N,  67.2W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640912, 1200,  , HU, 31.0N,  67.3W,  90,  974, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640912, 1800,  , HU, 31.9N,  66.9W,  90,  976, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640913, 0000,  , HU, 32.9N,  66.1W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640913, 0600,  , HU, 34.0N,  64.9W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640913, 1200,  , HU, 35.5N,  63.1W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
