AL091964,             GLADYS,     48,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19640913, 0600,  , TD, 14.7N,  44.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640913, 1200,  , TS, 15.4N,  46.0W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640913, 1800,  , TS, 16.1N,  47.4W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640914, 0000,  , TS, 17.0N,  49.0W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640914, 0600,  , TS, 17.9N,  50.6W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640914, 1200,  , HU, 18.8N,  52.1W,  85,  992, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640914, 1800,  , HU, 19.6N,  53.5W,  85,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640915, 0000,  , HU, 20.2N,  54.6W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640915, 0600,  , HU, 20.8N,  55.4W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640915, 1200,  , HU, 21.3N,  56.1W,  70,  996, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640915, 1800,  , HU, 21.8N,  57.2W,  70,  992, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640916, 0000,  , HU, 22.3N,  58.2W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640916, 0600,  , HU, 22.7N,  59.1W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640916, 1200,  , HU, 23.1N,  60.0W,  70,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640916, 1800,  , HU, 23.4N,  61.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640917, 0000,  , HU, 23.8N,  62.1W,  75, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640917, 0600,  , HU, 24.2N,  63.1W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640917, 1200,  , HU, 24.6N,  64.1W, 120,  954, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640917, 1800,  , HU, 25.0N,  65.1W, 125,  945, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640918, 0000,  , HU, 25.4N,  65.9W, 125,  951, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640918, 0600,  , HU, 25.8N,  66.5W, 125,  951, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640918, 1200,  , HU, 26.1N,  67.1W, 120,  952, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640918, 1800,  , HU, 26.4N,  67.7W, 120,  953, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640919, 0000,  , HU, 26.8N,  68.3W, 115,  962, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640919, 0600,  , HU, 27.1N,  68.8W, 110,  951, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640919, 1200,  , HU, 27.3N,  69.2W, 110,  960, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640919, 1800,  , HU, 27.6N,  69.6W, 105,  962, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640920, 0000,  , HU, 27.9N,  69.8W, 100,  962, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640920, 0600,  , HU, 28.4N,  69.8W,  95,  965, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640920, 1200,  , HU, 29.0N,  69.8W,  95,  967, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640920, 1800,  , HU, 29.4N,  69.7W,  90,  964, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640921, 0000,  , HU, 29.8N,  69.6W,  90,  964, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640921, 0600,  , HU, 30.4N,  69.6W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640921, 1200,  , HU, 31.1N,  69.8W,  85,  980, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640921, 1800,  , HU, 32.2N,  70.4W,  80,  977, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19640922, 0000,  , HU, 33.1N,  71.0W,  80,  984, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
