AL111964,             ISBELL,     35,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19641008, 1200,  , TD, 13.0N,  80.0W,  25, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641008, 1800,  , TD, 13.4N,  80.6W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641009, 0000,  , TD, 14.0N,  81.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641009, 0600,  , TD, 14.8N,  82.2W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641009, 1200,  , TD, 15.5N,  83.0W,  25, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641009, 1800,  , TD, 16.3N,  83.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641010, 0000,  , TD, 17.0N,  84.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641010, 0600,  , TD, 17.6N,  84.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641010, 1200,  , TD, 18.0N,  85.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641010, 1800,  , TD, 18.4N,  85.2W,  25, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641011, 0000,  , TD, 18.9N,  85.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641011, 0600,  , TD, 19.2N,  85.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641011, 1200,  , TD, 19.4N,  85.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641011, 1800,  , TD, 19.4N,  86.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641012, 0000,  , TD, 19.3N,  86.1W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641012, 0600,  , TD, 19.2N,  85.9W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641012, 1200,  , TD, 19.2N,  85.8W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641012, 1800,  , TD, 19.4N,  85.7W,  30, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641013, 0000,  , TS, 20.0N,  85.0W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641013, 0600,  , TS, 20.5N,  84.8W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641013, 1200,  , TS, 21.0N,  84.6W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641013, 1800,  , HU, 21.7N,  84.5W,  80,  979, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641014, 0000,  , HU, 22.5N,  84.1W,  95, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641014, 0600,  , HU, 23.2N,  83.6W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641014, 1200,  , HU, 24.0N,  82.9W, 110,  964, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641014, 1800,  , HU, 25.1N,  82.0W, 110,  968, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641015, 0000,  , HU, 26.4N,  80.6W, 110, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641015, 0600,  , HU, 27.8N,  79.0W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641015, 1200,  , HU, 29.6N,  77.3W,  80,  980, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641015, 1800,  , HU, 30.5N,  76.5W,  70,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641016, 0000,  , HU, 31.9N,  76.1W,  65,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641016, 0600,  , HU, 33.4N,  76.2W,  65,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641016, 1200,  , EX, 34.9N,  76.4W,  40, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641016, 1800,  , EX, 36.0N,  76.5W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19641017, 0000,  , EX, 36.5N,  76.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
