AL031965,              BETSY,     69,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19650827, 0000,  , TD, 10.9N,  50.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650827, 0600,  , TD, 11.1N,  52.1W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650827, 1200,  , TD, 11.4N,  53.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650827, 1800,  , TD, 11.6N,  54.5W,  30, 1007, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650828, 0000,  , TD, 12.0N,  55.8W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650828, 0600,  , TD, 13.0N,  57.8W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650828, 1200,  , TD, 14.0N,  59.8W,  30, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650828, 1800,  , TD, 15.3N,  61.4W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650829, 0000,  , TD, 16.2N,  62.1W,  30, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650829, 0600,  , TD, 17.4N,  62.6W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650829, 1200,  , TS, 19.2N,  63.4W,  35, 1007, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650829, 1800,  , TS, 20.5N,  64.3W,  40,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650830, 0000,  , HU, 21.2N,  64.7W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650830, 0600,  , HU, 21.8N,  65.1W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650830, 1200,  , HU, 22.4N,  65.5W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650830, 1800,  , HU, 22.6N,  65.6W,  65, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650831, 0000,  , HU, 22.7N,  65.7W,  65,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650831, 0600,  , HU, 22.7N,  65.8W,  65,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650831, 1200,  , HU, 22.5N,  66.1W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650831, 1800,  , HU, 22.5N,  66.0W,  70,  984, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650901, 0000,  , HU, 22.5N,  66.1W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650901, 0600,  , HU, 22.3N,  66.6W,  75,  980, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650901, 1200,  , HU, 22.2N,  67.5W,  80,  988, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650901, 1800,  , HU, 22.3N,  68.0W,  70,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650902, 0000,  , HU, 22.5N,  68.5W,  80,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650902, 0600,  , HU, 22.6N,  69.3W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650902, 1200,  , HU, 22.8N,  70.2W, 105,  942, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650902, 1800,  , HU, 23.4N,  70.9W, 105,  945, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650903, 0000,  , HU, 24.1N,  71.3W, 110, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650903, 0600,  , HU, 24.7N,  72.1W, 110, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650903, 1200,  , HU, 25.3N,  72.9W, 110,  955, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650903, 1800,  , HU, 26.3N,  73.7W, 115,  950, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650904, 0000,  , HU, 26.9N,  74.3W, 120,  951, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19650904, 0600,  , HU, 27.3N,  74.7W, 120,  946, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
