AL061965,              ELENA,     27,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19651012, 1200,  , TD, 15.6N,  45.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651012, 1800,  , TD, 18.0N,  47.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651013, 0000,  , TD, 19.1N,  48.6W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651013, 0600,  , TD, 19.8N,  50.4W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651013, 1200,  , TD, 20.5N,  52.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651013, 1800,  , TD, 21.2N,  53.1W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651014, 0000,  , TS, 22.0N,  54.1W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651014, 0600,  , TS, 23.1N,  55.1W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651014, 1200,  , TS, 24.0N,  56.0W,  40, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651014, 1800,  , TS, 24.5N,  56.8W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651015, 0000,  , TS, 24.9N,  57.4W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651015, 0600,  , TS, 25.4N,  58.0W,  40, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651015, 1200,  , TS, 25.9N,  58.5W,  45, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651015, 1800,  , TS, 26.3N,  58.9W,  50,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651016, 0000,  , TS, 26.7N,  59.2W,  55,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651016, 0600,  , HU, 27.3N,  59.7W,  65,  991, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651016, 1200,  , HU, 28.0N,  60.3W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651016, 1800,  , HU, 28.8N,  60.2W,  65,  992, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651017, 0000,  , HU, 30.0N,  59.4W,  65,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651017, 0600,  , HU, 31.5N,  58.3W,  65,  992, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651017, 1200,  , HU, 33.0N,  56.3W,  70,  988, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651017, 1800,  , HU, 34.4N,  53.4W,  70,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651018, 0000,  , HU, 35.8N,  50.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651018, 0600,  , HU, 37.3N,  46.4W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651018, 1200,  , HU, 39.0N,  42.5W,  70,  977, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651018, 1800,  , HU, 41.0N,  37.9W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19651019, 0000,  , EX, 43.5N,  32.5W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
