AL011966,               ALMA,     42,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19660604, 0600,  , TD, 12.7N,  84.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660604, 1200,  , TD, 13.3N,  84.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660604, 1800,  , TD, 14.0N,  84.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660605, 0000,  , TD, 14.8N,  84.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660605, 0600,  , TD, 15.5N,  84.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660605, 1200,  , TD, 16.3N,  84.8W,  30, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660605, 1800,  , TD, 16.9N,  84.8W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660606, 0000,  , TD, 17.3N,  84.7W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660606, 0600,  , TD, 17.7N,  84.4W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660606, 1200,  , TS, 18.1N,  84.2W,  40,  996, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660606, 1800,  , HU, 18.5N,  84.1W,  70,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660607, 0000,  , HU, 18.9N,  84.0W,  80,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660607, 0600,  , HU, 19.2N,  83.9W,  80,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660607, 1200,  , HU, 19.4N,  83.8W,  85,  983, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660607, 1800,  , HU, 19.7N,  83.7W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660608, 0000,  , HU, 20.1N,  83.5W,  85,  976, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660608, 0600,  , HU, 21.2N,  83.0W,  85,  980, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660608, 1200,  , HU, 22.7N,  82.5W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660608, 1800,  , HU, 24.2N,  82.4W, 110,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660609, 0000,  , HU, 25.7N,  82.6W, 100,  974, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660609, 0600,  , HU, 27.3N,  83.3W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660609, 1200,  , HU, 28.8N,  84.4W,  85,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660609, 1800,  , HU, 29.7N,  84.6W,  80,  981, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660610, 0000,  , TS, 30.3N,  84.1W,  60,  977, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660610, 0600,  , TS, 31.0N,  83.0W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660610, 1200,  , TS, 31.7N,  81.9W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660610, 1800,  , TS, 32.1N,  80.8W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660611, 0000,  , TS, 32.5N,  79.6W,  40,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660611, 0600,  , TS, 33.1N,  78.2W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660611, 1200,  , TS, 33.7N,  76.7W,  40,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660611, 1800,  , HU, 33.7N,  75.4W,  65,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660612, 0000,  , HU, 33.7N,  74.2W,  70,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660612, 0600,  , HU, 34.3N,  73.5W,  70,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660612, 1200,  , TS, 34.9N,  73.3W,  60,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660612, 1800,  , TS, 35.6N,  73.3W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660613, 0000,  , TS, 36.3N,  73.3W,  55,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660613, 0600,  , TS, 37.0N,  73.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660613, 1200,  , TS, 37.6N,  73.5W,  45, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660613, 1800,  , EX, 38.2N,  72.9W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660614, 0000,  , EX, 39.2N,  72.1W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660614, 0600,  , EX, 40.6N,  71.3W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660614, 1200,  , EX, 42.0N,  70.5W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
