AL041966,            DOROTHY,     37,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19660722, 1800,  , TD, 31.0N,  41.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660723, 0000,  , TD, 31.5N,  41.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660723, 0600,  , TD, 31.7N,  41.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660723, 1200,  , TS, 31.8N,  41.9W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660723, 1800,  , TS, 32.0N,  42.0W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660724, 0000,  , TS, 32.2N,  42.0W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660724, 0600,  , TS, 32.4N,  42.1W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660724, 1200,  , TS, 32.7N,  42.2W,  60,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660724, 1800,  , HU, 33.0N,  42.1W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660725, 0000,  , HU, 33.3N,  41.8W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660725, 0600,  , HU, 33.8N,  41.1W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660725, 1200,  , HU, 34.5N,  40.5W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660725, 1800,  , HU, 35.3N,  40.5W,  65,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660726, 0000,  , HU, 35.9N,  40.8W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660726, 0600,  , HU, 36.1N,  41.4W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660726, 1200,  , HU, 36.2N,  41.9W,  65,  989, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660726, 1800,  , HU, 36.4N,  42.2W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660727, 0000,  , HU, 36.6N,  42.2W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660727, 0600,  , HU, 37.4N,  41.9W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660727, 1200,  , HU, 38.3N,  41.4W,  65,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660727, 1800,  , HU, 38.7N,  40.8W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660728, 0000,  , HU, 39.2N,  40.1W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660728, 0600,  , HU, 40.1N,  39.2W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660728, 1200,  , HU, 40.9N,  38.5W,  70,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660728, 1800,  , HU, 41.6N,  38.2W,  70,  996, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660729, 0000,  , HU, 42.4N,  38.0W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660729, 0600,  , TS, 43.1N,  37.7W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660729, 1200,  , TS, 43.9N,  37.4W,  55,  996, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660729, 1800,  , TS, 44.6N,  37.4W,  50,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660730, 0000,  , TS, 45.3N,  37.4W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660730, 0600,  , TS, 46.0N,  37.3W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660730, 1200,  , TS, 46.8N,  37.1W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660730, 1800,  , EX, 47.7N,  36.4W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660731, 0000,  , EX, 49.0N,  36.0W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660731, 0600,  , EX, 50.5N,  36.5W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660731, 1200,  , EX, 52.0N,  37.0W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660731, 1800,  , EX, 53.5N,  38.5W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
