AL061966,              FAITH,     69,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19660821, 0000,  , TD, 12.9N,  20.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660821, 0600,  , TD, 13.3N,  22.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660821, 1200,  , TD, 13.7N,  24.2W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660821, 1800,  , TD, 14.0N,  26.1W,  25, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660822, 0000,  , TS, 14.3N,  28.0W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660822, 0600,  , TS, 14.6N,  29.9W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660822, 1200,  , TS, 14.9N,  31.9W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660822, 1800,  , TS, 15.0N,  33.9W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660823, 0000,  , TS, 15.1N,  35.8W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660823, 0600,  , TS, 15.2N,  37.8W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660823, 1200,  , HU, 15.2N,  39.8W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660823, 1800,  , HU, 15.3N,  41.8W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660824, 0000,  , HU, 15.3N,  43.8W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660824, 0600,  , HU, 15.3N,  45.7W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660824, 1200,  , HU, 15.3N,  47.7W,  80,  992, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660824, 1800,  , HU, 15.6N,  49.8W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660825, 0000,  , HU, 16.0N,  52.0W,  85,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660825, 0600,  , HU, 16.3N,  54.1W,  90,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660825, 1200,  , HU, 16.6N,  56.2W,  90,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660825, 1800,  , HU, 16.9N,  57.9W,  90,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660826, 0000,  , HU, 17.3N,  59.4W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660826, 0600,  , HU, 17.7N,  60.8W,  85,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660826, 1200,  , HU, 18.3N,  62.2W,  80,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660826, 1800,  , HU, 19.0N,  63.7W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660827, 0000,  , HU, 19.7N,  65.1W,  75,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660827, 0600,  , HU, 20.4N,  66.3W,  75,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660827, 1200,  , HU, 21.0N,  67.5W,  75,  989, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660827, 1800,  , HU, 21.6N,  68.7W,  75,  983, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660828, 0000,  , HU, 22.1N,  69.8W,  80,  979, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660828, 0600,  , HU, 22.7N,  70.5W,  90,  973, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660828, 1200,  , HU, 23.3N,  70.7W, 110,  962, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660828, 1800,  , HU, 23.7N,  70.9W, 110,  957, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660829, 0000,  , HU, 24.0N,  71.0W, 105,  956, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660829, 0600,  , HU, 24.4N,  71.1W, 100,  960, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660829, 1200,  , HU, 24.9N,  71.3W, 100,  963, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660829, 1800,  , HU, 25.3N,  71.5W, 100,  963, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660830, 0000,  , HU, 25.8N,  71.8W,  95,  963, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660830, 0600,  , HU, 26.3N,  72.1W,  95,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660830, 1200,  , HU, 26.9N,  72.4W,  95,  966, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660830, 1800,  , HU, 27.4N,  72.7W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660831, 0000,  , HU, 28.0N,  73.0W,  90,  967, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660831, 0600,  , HU, 28.5N,  73.3W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660831, 1200,  , HU, 29.3N,  73.6W,  90,  988, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660831, 1800,  , HU, 30.5N,  73.3W,  90,  963, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660901, 0000,  , HU, 31.7N,  72.4W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660901, 0600,  , HU, 32.9N,  71.4W,  95,  963, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660901, 1200,  , HU, 34.0N,  70.3W,  95,  963, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660901, 1800,  , HU, 35.0N,  69.2W,  95,  957, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660902, 0000,  , HU, 35.9N,  68.0W,  95,  958, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660902, 0600,  , HU, 36.6N,  66.8W,  95, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660902, 1200,  , HU, 37.0N,  65.2W,  95, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660902, 1800,  , HU, 37.1N,  63.0W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660903, 0000,  , HU, 37.1N,  60.1W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660903, 0600,  , HU, 37.5N,  57.0W,  90,  950, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660903, 1200,  , HU, 38.3N,  54.0W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660903, 1800,  , HU, 39.7N,  51.1W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660904, 0000,  , HU, 41.9N,  48.1W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660904, 0600,  , HU, 44.7N,  44.9W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660904, 1200,  , HU, 47.5N,  41.5W,  90,  954, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660904, 1800,  , HU, 50.2N,  37.8W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660905, 0000,  , HU, 52.8N,  33.8W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660905, 0600,  , HU, 55.2N,  29.4W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660905, 1200,  , HU, 57.3N,  24.5W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660905, 1800,  , HU, 58.7N,  19.4W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660906, 0000,  , HU, 60.4N,  12.0W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660906, 0600,  , HU, 61.1N,   6.0W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660906, 1200,  , EX, 62.5N,   3.0W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660906, 1800,  , EX, 62.6N,   2.5E,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660907, 0000,  , EX, 62.9N,   7.0E,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
