AL071966,              GRETA,     26,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19660901, 1200,  , TD, 13.7N,  48.4W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660901, 1800,  , TD, 14.3N,  49.6W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660902, 0000,  , TD, 14.9N,  50.8W,  25, 1011, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660902, 0600,  , TD, 15.3N,  51.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660902, 1200,  , TD, 15.9N,  52.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660902, 1800,  , TD, 16.2N,  52.9W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660903, 0000,  , TD, 16.4N,  53.7W,  30, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660903, 0600,  , TD, 16.7N,  54.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660903, 1200,  , TD, 17.0N,  55.0W,  30, 1013, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660903, 1800,  , TD, 17.4N,  55.8W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660904, 0000,  , TD, 17.8N,  56.7W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660904, 0600,  , TD, 18.4N,  57.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660904, 1200,  , TD, 19.0N,  58.0W,  30, 1009, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660904, 1800,  , TS, 19.8N,  59.0W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660905, 0000,  , TS, 20.7N,  60.1W,  50, 1004, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660905, 0600,  , TS, 21.0N,  60.9W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660905, 1200,  , TS, 21.3N,  61.7W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660905, 1800,  , TS, 21.8N,  62.6W,  35, 1007, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660906, 0000,  , TS, 22.2N,  63.7W,  35, 1009, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660906, 0600,  , TS, 23.0N,  65.1W,  35, 1009, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660906, 1200,  , TD, 23.7N,  66.7W,  30, 1011, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660906, 1800,  , TD, 24.6N,  68.2W,  30, 1011, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660907, 0000,  , TD, 25.6N,  69.7W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660907, 0600,  , TD, 26.1N,  70.6W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660907, 1200,  , TD, 26.7N,  71.5W,  30, 1013, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660907, 1800,  , TD, 28.0N,  71.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
