AL091966,               INEZ,     81,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19660921, 1200,  , TD,  9.9N,  35.1W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660921, 1800,  , TD, 10.4N,  36.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660922, 0000,  , TD, 10.9N,  37.1W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660922, 0600,  , TD, 11.3N,  38.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660922, 1200,  , TD, 11.7N,  39.4W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660922, 1800,  , TD, 12.0N,  40.6W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660923, 0000,  , TD, 12.3N,  41.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660923, 0600,  , TD, 12.7N,  43.1W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660923, 1200,  , TD, 13.1N,  44.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660923, 1800,  , TD, 13.4N,  45.1W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660924, 0000,  , TD, 13.7N,  46.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660924, 0600,  , TD, 14.0N,  46.9W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660924, 1200,  , TD, 14.4N,  47.7W,  30, 1009, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660924, 1800,  , TS, 14.8N,  48.7W,  40, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660925, 0000,  , TS, 15.1N,  49.7W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660925, 0600,  , TS, 15.4N,  50.6W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660925, 1200,  , TS, 15.6N,  51.5W,  55, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660925, 1800,  , TS, 15.6N,  52.5W,  60, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660926, 0000,  , TS, 15.6N,  53.6W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660926, 0600,  , TS, 15.7N,  54.8W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660926, 1200,  , HU, 15.8N,  56.0W,  70,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660926, 1800,  , HU, 15.8N,  57.0W,  75,  982, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660927, 0000,  , HU, 15.9N,  58.0W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660927, 0600,  , HU, 16.0N,  59.2W,  95,  965, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660927, 1200,  , HU, 16.1N,  60.4W, 105,  961, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660927, 1800,  , HU, 16.2N,  61.7W, 110,  962, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660928, 0000,  , HU, 16.3N,  63.0W, 110, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660928, 0600,  , HU, 16.5N,  64.3W, 115,  955, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660928, 1200,  , HU, 16.8N,  65.7W, 120, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660928, 1800,  , HU, 17.0N,  67.1W, 130,  932, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660929, 0000,  , HU, 17.1N,  68.5W, 130,  929, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660929, 0600,  , HU, 17.3N,  69.7W, 125, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660929, 1200,  , HU, 17.5N,  70.9W, 120, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660929, 1800,  , HU, 18.1N,  72.3W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660930, 0000,  , HU, 18.8N,  73.6W,  80,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660930, 0600,  , HU, 19.3N,  74.5W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660930, 1200,  , HU, 19.8N,  75.4W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660930, 1800,  , HU, 20.2N,  76.3W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661001, 0000,  , HU, 20.5N,  77.1W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661001, 0600,  , HU, 20.8N,  78.1W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661001, 1200,  , HU, 21.2N,  79.1W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661001, 1800,  , HU, 21.9N,  79.8W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661002, 0000,  , HU, 22.6N,  80.1W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661002, 0600,  , HU, 23.0N,  80.1W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661002, 1200,  , TS, 23.3N,  79.9W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
