AL101966,             JUDITH,     15,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19660927, 0000,  , TD, 10.8N,  43.2W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660927, 0600,  , TD, 11.0N,  44.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660927, 1200,  , TD, 11.2N,  45.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660927, 1800,  , TD, 11.4N,  47.1W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660928, 0000,  , TD, 11.6N,  48.4W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660928, 0600,  , TD, 11.9N,  49.8W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660928, 1200,  , TS, 12.2N,  51.2W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660928, 1800,  , TS, 12.5N,  52.7W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660929, 0000,  , TS, 12.8N,  54.2W,  40, 1013, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660929, 0600,  , TS, 13.1N,  56.1W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660929, 1200,  , TS, 13.4N,  58.0W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660929, 1800,  , TS, 13.6N,  59.7W,  45, 1007, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660930, 0000,  , TD, 13.8N,  61.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660930, 0600,  , TD, 13.8N,  62.4W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19660930, 1200,  , TD, 13.8N,  63.4W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
