AL111966,               LOIS,     39,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19661104, 1200,  , TD, 26.5N,  50.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661104, 1800,  , TD, 26.5N,  52.2W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661105, 0000,  , TD, 26.2N,  54.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661105, 0600,  , TD, 25.6N,  55.4W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661105, 1200,  , TD, 25.0N,  56.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661105, 1800,  , TD, 24.8N,  55.7W,  25,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661106, 0000,  , TD, 24.5N,  55.2W,  25,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661106, 0600,  , TD, 24.3N,  54.6W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661106, 1200,  , TD, 24.0N,  54.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661106, 1800,  , TS, 23.9N,  53.5W,  50,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661107, 0000,  , TS, 23.9N,  53.0W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661107, 0600,  , TS, 23.8N,  52.6W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661107, 1200,  , TS, 23.7N,  52.3W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661107, 1800,  , TS, 24.0N,  51.4W,  60,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661108, 0000,  , HU, 24.8N,  49.8W,  70,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661108, 0600,  , HU, 25.8N,  47.7W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661108, 1200,  , HU, 27.4N,  45.6W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661108, 1800,  , HU, 30.1N,  43.4W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661109, 0000,  , HU, 32.6N,  41.3W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661109, 0600,  , HU, 34.2N,  39.8W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661109, 1200,  , HU, 35.8N,  38.4W,  70,  989, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661109, 1800,  , HU, 37.3N,  36.8W,  70,  989, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661110, 0000,  , HU, 38.8N,  35.2W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661110, 0600,  , HU, 40.0N,  33.7W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661110, 1200,  , HU, 41.2N,  32.2W,  65,  988, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661110, 1800,  , HU, 42.6N,  30.5W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661111, 0000,  , HU, 43.9N,  28.8W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661111, 0600,  , HU, 45.0N,  27.2W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661111, 1200,  , HU, 45.8N,  25.7W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661111, 1800,  , HU, 46.4N,  23.9W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661112, 0000,  , EX, 46.8N,  22.1W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661112, 0600,  , EX, 47.0N,  21.0W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661112, 1200,  , EX, 46.7N,  20.0W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661112, 1800,  , EX, 45.9N,  18.6W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661113, 0000,  , EX, 45.0N,  17.2W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661113, 0600,  , EX, 44.3N,  16.3W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661113, 1200,  , EX, 43.5N,  15.5W,  45, 1016, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661113, 1800,  , EX, 42.5N,  14.8W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19661114, 0000,  , EX, 41.2N,  14.3W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
