AL151967,            UNNAMED,     33,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19670918, 1200,  , TD, 14.0N,  14.5W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670918, 1800,  , TD, 14.1N,  15.2W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670919, 0000,  , TD, 14.1N,  16.2W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670919, 0600,  , TD, 14.2N,  17.2W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670919, 1200,  , TD, 14.3N,  18.5W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670919, 1800,  , TD, 14.5N,  20.0W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670920, 0000,  , TD, 14.5N,  21.2W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670920, 0600,  , TD, 14.6N,  22.9W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670920, 1200,  , TD, 14.6N,  24.1W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670920, 1800,  , TD, 14.6N,  25.1W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670921, 0000,  , TD, 14.8N,  26.9W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670921, 0600,  , TD, 14.9N,  28.2W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670921, 1200,  , TD, 15.0N,  30.0W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670921, 1800,  , TD, 15.1N,  31.1W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670922, 0000,  , TD, 15.3N,  32.9W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670922, 0600,  , TD, 15.4N,  34.5W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670922, 1200,  , TD, 15.6N,  36.0W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670922, 1800,  , TD, 15.6N,  37.1W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670923, 0000,  , TD, 15.8N,  38.2W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670923, 0600,  , TD, 15.9N,  39.7W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670923, 1200,  , TD, 16.0N,  41.0W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670923, 1800,  , TD, 16.1N,  42.1W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670924, 0000,  , TD, 16.1N,  43.6W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670924, 0600,  , TD, 16.2N,  45.0W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670924, 1200,  , TD, 16.3N,  46.4W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670924, 1800,  , TD, 16.4N,  47.4W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670925, 0000,  , TD, 16.5N,  48.9W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670925, 0600,  , TD, 16.5N,  50.0W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670925, 1200,  , TD, 16.5N,  51.4W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670925, 1800,  , TD, 16.5N,  52.7W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670926, 0000,  , TD, 16.3N,  54.1W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670926, 0600,  , TD, 16.0N,  55.7W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19670926, 1200,  , TD, 15.8N,  57.0W, -99, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
