AL211967,             GINGER,     14,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19671005, 1200,  , TD, 17.0N,  18.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671005, 1800,  , TD, 17.5N,  18.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671006, 0000,  , TS, 18.0N,  18.1W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671006, 0600,  , TS, 18.5N,  18.2W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671006, 1200,  , TS, 19.0N,  18.5W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671006, 1800,  , TS, 19.5N,  18.9W,  45, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671007, 0000,  , TS, 20.0N,  19.3W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671007, 0600,  , TD, 20.4N,  19.8W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671007, 1200,  , TD, 20.5N,  20.5W,  30, 1012, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671007, 1800,  , TD, 20.4N,  21.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671008, 0000,  , TD, 20.3N,  22.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671008, 0600,  , TD, 20.2N,  22.8W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671008, 1200,  , TD, 20.0N,  23.6W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671008, 1800,  , TD, 19.7N,  24.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
