AL251967,              HEIDI,     54,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19671019, 1200,  , TD, 20.5N,  54.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671019, 1800,  , TD, 20.7N,  55.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671020, 0000,  , TD, 20.9N,  57.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671020, 0600,  , TD, 21.0N,  58.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671020, 1200,  , TD, 21.1N,  60.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671020, 1800,  , TS, 21.4N,  61.5W,  35, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671021, 0000,  , TS, 21.9N,  62.9W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671021, 0600,  , TS, 22.4N,  64.1W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671021, 1200,  , TS, 23.2N,  65.2W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671021, 1800,  , TS, 24.5N,  66.1W,  40, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671022, 0000,  , TS, 25.8N,  66.8W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671022, 0600,  , TS, 26.9N,  67.0W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671022, 1200,  , TS, 28.1N,  66.5W,  55, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671022, 1800,  , TS, 29.4N,  65.6W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671023, 0000,  , HU, 30.8N,  64.3W,  65,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671023, 0600,  , HU, 32.1N,  62.7W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671023, 1200,  , HU, 32.8N,  60.9W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671023, 1800,  , HU, 33.0N,  58.5W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671024, 0000,  , HU, 33.0N,  56.2W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671024, 0600,  , HU, 33.0N,  54.5W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671024, 1200,  , HU, 33.0N,  52.9W,  70,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671024, 1800,  , HU, 33.1N,  51.3W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671025, 0000,  , HU, 33.4N,  50.1W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671025, 0600,  , HU, 33.9N,  49.3W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671025, 1200,  , HU, 34.5N,  48.5W,  75,  989, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671025, 1800,  , HU, 34.9N,  47.7W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671026, 0000,  , HU, 35.3N,  46.9W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671026, 0600,  , HU, 35.6N,  46.3W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671026, 1200,  , HU, 35.9N,  46.1W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671026, 1800,  , HU, 36.2N,  46.1W,  80,  981, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671027, 0000,  , HU, 36.5N,  46.2W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671027, 0600,  , HU, 36.7N,  46.2W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671027, 1200,  , HU, 37.0N,  46.0W,  75,  991, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671027, 1800,  , HU, 37.5N,  45.6W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671028, 0000,  , HU, 38.0N,  45.1W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671028, 0600,  , HU, 38.4N,  44.6W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671028, 1200,  , HU, 38.7N,  44.1W,  70,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671028, 1800,  , HU, 39.0N,  43.9W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671029, 0000,  , HU, 39.2N,  43.9W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671029, 0600,  , HU, 39.3N,  43.9W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671029, 1200,  , TS, 39.3N,  44.1W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671029, 1800,  , TS, 39.1N,  44.6W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671030, 0000,  , TS, 38.8N,  45.1W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671030, 0600,  , TS, 38.7N,  45.6W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671030, 1200,  , TS, 38.9N,  46.1W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671030, 1800,  , TS, 39.5N,  46.5W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671031, 0000,  , TS, 40.3N,  46.7W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671031, 0600,  , TS, 41.2N,  46.2W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671031, 1200,  , TS, 42.1N,  45.0W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671031, 1800,  , TS, 42.7N,  43.6W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671101, 0000,  , EX, 43.0N,  42.0W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671101, 0600,  , EX, 43.0N,  40.3W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671101, 1200,  , EX, 43.0N,  38.5W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19671101, 1800,  , EX, 43.0N,  36.8W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
