AL011968,               ABBY,     51,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19680601, 0600,  , TD, 17.2N,  85.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680601, 1200,  , TD, 17.5N,  85.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680601, 1800,  , TD, 18.2N,  85.7W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680602, 0000,  , TD, 18.8N,  85.8W,  30, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680602, 0600,  , TD, 19.7N,  85.7W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680602, 1200,  , TD, 20.5N,  85.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680602, 1800,  , TS, 21.4N,  84.8W,  40, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680603, 0000,  , TS, 22.3N,  84.2W,  45,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680603, 0600,  , TS, 23.3N,  83.9W,  60,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680603, 1200,  , HU, 24.5N,  83.6W,  65,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680603, 1800,  , HU, 24.8N,  83.5W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680604, 0000,  , HU, 25.1N,  83.3W,  65,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680604, 0600,  , TS, 25.8N,  82.9W,  60,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680604, 1200,  , TS, 26.9N,  82.1W,  55,  992, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680604, 1800,  , TS, 27.6N,  81.7W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680605, 0000,  , TS, 28.0N,  81.3W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680605, 0600,  , TS, 28.1N,  80.9W,  50,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680605, 1200,  , TS, 28.0N,  80.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680605, 1800,  , TS, 27.8N,  80.2W,  50,  965, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680606, 0000,  , TS, 28.0N,  80.0W,  50,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680606, 0600,  , TS, 28.6N,  80.4W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680606, 1200,  , TS, 29.1N,  80.9W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680606, 1800,  , TS, 29.9N,  81.2W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680607, 0000,  , TS, 30.6N,  81.5W,  50,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680607, 0600,  , TS, 31.4N,  81.8W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680607, 1200,  , TS, 32.0N,  82.0W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680607, 1800,  , TD, 32.6N,  82.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680608, 0000,  , TD, 33.0N,  82.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680608, 0600,  , TD, 33.5N,  82.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680608, 1200,  , TD, 34.0N,  82.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680608, 1800,  , TD, 34.4N,  82.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680609, 0000,  , TD, 35.0N,  82.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680609, 0600,  , TD, 35.3N,  81.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
