AL031968,              CANDY,     15,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19680622, 1800,  , TD, 20.0N,  96.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680623, 0000,  , TD, 21.5N,  96.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680623, 0600,  , TD, 23.1N,  96.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680623, 1200,  , TD, 24.8N,  96.1W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680623, 1800,  , TS, 26.4N,  96.6W,  45, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680624, 0000,  , TS, 28.3N,  97.2W,  60,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680624, 0600,  , TD, 30.1N,  97.8W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680624, 1200,  , TD, 32.1N,  97.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680624, 1800,  , TD, 34.1N,  96.9W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680625, 0000,  , TD, 35.9N,  95.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680625, 0600,  , TD, 38.2N,  93.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680625, 1200,  , TD, 40.0N,  90.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680625, 1800,  , TD, 41.0N,  86.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680626, 0000,  , EX, 41.7N,  83.6W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680626, 0600,  , EX, 42.0N,  80.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
