AL051968,              DOLLY,     29,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19680810, 0000,  , TD, 25.0N,  79.0W,  25, 1013, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680810, 0600,  , TD, 25.9N,  80.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680810, 1200,  , TD, 27.0N,  80.5W,  25, 1012, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680810, 1800,  , TD, 28.2N,  80.6W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680811, 0000,  , TD, 29.4N,  80.4W,  25, 1011, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680811, 0600,  , TD, 30.6N,  79.9W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680811, 1200,  , TD, 31.8N,  78.8W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680811, 1800,  , TD, 32.9N,  77.1W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680812, 0000,  , TD, 33.8N,  75.2W,  30, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680812, 0600,  , TD, 34.4N,  73.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680812, 1200,  , TS, 35.0N,  71.3W,  45,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680812, 1800,  , TS, 35.7N,  69.0W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680813, 0000,  , HU, 36.4N,  66.6W,  65,  985, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680813, 0600,  , HU, 37.0N,  64.1W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680813, 1200,  , HU, 37.6N,  62.0W,  65, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680813, 1800,  , TS, 38.2N,  59.9W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680814, 0000,  , TS, 38.8N,  57.5W,  55,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680814, 0600,  , TS, 39.3N,  54.4W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680814, 1200,  , HU, 39.8N,  51.3W,  70,  992, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680814, 1800,  , HU, 40.2N,  48.8W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680815, 0000,  , HU, 40.6N,  46.0W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680815, 0600,  , HU, 40.7N,  43.8W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680815, 1200,  , HU, 40.8N,  41.2W,  65,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680815, 1800,  , HU, 40.9N,  38.9W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680816, 0000,  , HU, 41.3N,  36.3W,  65, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680816, 0600,  , HU, 42.0N,  34.0W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680816, 1200,  , TD, 42.6N,  31.6W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680816, 1800,  , TD, 42.8N,  29.5W,  30, 1011, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680817, 0000,  , TD, 42.8N,  26.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
