AL081968,               EDNA,     31,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19680911, 1800,  , TD, 12.7N,  21.1W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680912, 0000,  , TD, 13.0N,  22.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680912, 0600,  , TD, 13.4N,  23.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680912, 1200,  , TD, 13.7N,  25.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680912, 1800,  , TD, 13.9N,  26.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680913, 0000,  , TD, 14.0N,  27.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680913, 0600,  , TD, 14.2N,  28.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680913, 1200,  , TD, 14.3N,  29.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680913, 1800,  , TD, 14.5N,  30.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680914, 0000,  , TD, 14.8N,  30.9W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680914, 0600,  , TD, 15.0N,  31.8W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680914, 1200,  , TD, 15.3N,  32.9W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680914, 1800,  , TD, 15.6N,  34.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680915, 0000,  , TS, 15.8N,  34.9W,  50, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680915, 0600,  , TS, 16.0N,  35.8W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680915, 1200,  , TS, 16.2N,  36.7W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680915, 1800,  , TS, 16.4N,  37.7W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680916, 0000,  , TS, 16.4N,  38.6W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680916, 0600,  , TS, 16.5N,  39.5W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680916, 1200,  , TS, 16.5N,  40.7W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680916, 1800,  , TS, 16.6N,  41.7W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680917, 0000,  , TS, 16.7N,  42.8W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680917, 0600,  , TS, 16.8N,  43.9W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680917, 1200,  , TS, 16.9N,  45.0W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680917, 1800,  , TS, 17.0N,  46.2W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680918, 0000,  , TS, 17.1N,  47.7W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680918, 0600,  , TS, 17.2N,  49.2W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680918, 1200,  , TD, 17.3N,  51.1W,  30, 1013, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680918, 1800,  , TD, 17.4N,  52.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680919, 0000,  , TD, 17.6N,  54.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680919, 0600,  , TD, 17.8N,  55.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
