AL121968,            FRANCES,     30,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19680923, 1200,  , TD, 26.0N,  74.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680923, 1800,  , TD, 26.7N,  74.2W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680924, 0000,  , TD, 27.3N,  74.4W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680924, 0600,  , TD, 28.0N,  74.4W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680924, 1200,  , TD, 28.7N,  74.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680924, 1800,  , TD, 29.4N,  74.1W,  30, 1012, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680925, 0000,  , TD, 30.1N,  73.4W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680925, 0600,  , TD, 30.8N,  72.6W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680925, 1200,  , TD, 31.3N,  71.7W,  30, 1012, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680925, 1800,  , TD, 31.9N,  70.7W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680926, 0000,  , TD, 32.3N,  69.9W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680926, 0600,  , TD, 32.7N,  69.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680926, 1200,  , TD, 32.9N,  68.8W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680926, 1800,  , TS, 33.2N,  68.2W,  45, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680927, 0000,  , TS, 33.5N,  67.7W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680927, 0600,  , TS, 33.8N,  67.1W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680927, 1200,  , TS, 34.2N,  66.2W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680927, 1800,  , TS, 34.3N,  65.3W,  50, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680928, 0000,  , TS, 34.7N,  63.7W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680928, 0600,  , TS, 34.9N,  61.9W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680928, 1200,  , TS, 35.0N,  59.8W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680928, 1800,  , TS, 35.3N,  57.8W,  40, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680929, 0000,  , TS, 35.4N,  55.7W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680929, 0600,  , TD, 35.5N,  53.5W,  30, 1007, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680929, 1200,  , EX, 35.4N,  50.7W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680929, 1800,  , EX, 35.3N,  48.1W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680930, 0000,  , EX, 35.7N,  45.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680930, 0600,  , EX, 36.2N,  42.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680930, 1200,  , EX, 36.8N,  39.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19680930, 1800,  , EX, 37.5N,  36.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
