AL071969,            BLANCHE,     10,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19690811, 0000,  , TD, 28.1N,  71.7W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690811, 0600,  , TD, 30.2N,  71.6W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690811, 1200,  , TS, 32.5N,  71.1W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690811, 1800,  , HU, 35.5N,  69.9W,  75,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690812, 0000,  , HU, 38.6N,  68.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690812, 0600,  , HU, 41.7N,  65.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690812, 1200,  , HU, 44.3N,  60.4W,  65,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690812, 1800,  , EX, 46.0N,  54.9W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690813, 0000,  , EX, 47.1N,  49.0W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690813, 0600,  , EX, 48.0N,  43.0W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
