AL121969,                EVE,     12,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19690825, 0000,  , TD, 29.5N,  78.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690825, 0600,  , TD, 29.6N,  77.8W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690825, 1200,  , TD, 29.7N,  76.9W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690825, 1800,  , TS, 29.8N,  76.0W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690826, 0000,  , TS, 30.0N,  75.1W,  50,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690826, 0600,  , TS, 30.3N,  74.3W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690826, 1200,  , TS, 30.8N,  73.6W,  45,  996, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690826, 1800,  , TS, 31.4N,  72.7W,  40,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690827, 0000,  , TD, 32.0N,  71.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690827, 0600,  , TD, 32.5N,  70.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690827, 1200,  , TD, 32.7N,  68.8W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690827, 1800,  , TD, 32.8N,  67.5W,  25, 1009, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
