AL131969,          FRANCELIA,     27,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19690829, 0000,  , TD, 11.5N,  62.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690829, 0600,  , TD, 11.8N,  63.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690829, 1200,  , TD, 12.0N,  65.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690829, 1800,  , TD, 12.5N,  66.5W,  30, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690830, 0000,  , TD, 13.2N,  69.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690830, 0600,  , TD, 13.7N,  70.7W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690830, 1200,  , TS, 14.3N,  72.2W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690830, 1800,  , TS, 14.9N,  74.3W,  50, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690831, 0000,  , TS, 15.3N,  75.8W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690831, 0600,  , TS, 15.6N,  76.7W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690831, 1200,  , TS, 16.0N,  77.6W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690831, 1800,  , TS, 16.2N,  78.6W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690901, 0000,  , TS, 16.4N,  79.4W,  55, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690901, 0600,  , TS, 16.8N,  80.6W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690901, 1200,  , TS, 17.1N,  82.0W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690901, 1800,  , HU, 17.3N,  83.2W,  65,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690902, 0000,  , HU, 17.1N,  84.7W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690902, 0600,  , HU, 16.8N,  85.5W,  80,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690902, 1200,  , HU, 16.6N,  86.2W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690902, 1800,  , HU, 16.4N,  86.7W, 100,  973, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690903, 0000,  , HU, 16.3N,  87.6W,  95, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690903, 0600,  , HU, 16.3N,  87.9W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690903, 1200,  , HU, 16.2N,  88.2W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690903, 1800,  , HU, 16.2N,  88.6W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690904, 0000,  , HU, 16.1N,  88.8W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690904, 0600,  , TS, 16.1N,  89.2W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690904, 1200,  , TS, 16.2N,  89.7W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
