AL161969,              GERDA,     19,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19690906, 0000,  , TD, 24.5N,  77.0W,  25, 1015, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690906, 0600,  , TD, 25.4N,  78.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690906, 1200,  , TD, 26.0N,  79.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690906, 1800,  , TD, 26.4N,  79.6W,  25, 1014, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690907, 0000,  , TD, 26.6N,  80.2W,  25, 1012, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690907, 0600,  , TD, 27.3N,  81.1W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690907, 1200,  , TD, 27.8N,  80.8W,  25, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690907, 1800,  , TD, 28.5N,  80.4W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690908, 0000,  , TD, 29.0N,  80.0W,  30, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690908, 0600,  , TS, 29.7N,  79.7W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690908, 1200,  , TS, 30.7N,  79.0W,  45, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690908, 1800,  , HU, 32.0N,  78.0W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690909, 0000,  , HU, 33.4N,  76.4W,  70,  991, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690909, 0600,  , HU, 35.3N,  74.4W,  85,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690909, 1200,  , HU, 37.8N,  72.2W, 110,  984, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690909, 1800,  , HU, 40.1N,  69.9W, 110,  979, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690910, 0000,  , HU, 44.0N,  67.5W,  95,  979, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690910, 0600,  , EX, 48.5N,  66.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690910, 1200,  , EX, 53.0N,  65.0W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
