AL171969,              HOLLY,     27,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19690914, 1200,  , TD, 11.9N,  47.4W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690914, 1800,  , TD, 12.3N,  48.1W,  30, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690915, 0000,  , TS, 12.7N,  48.5W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690915, 0600,  , TS, 13.3N,  48.8W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690915, 1200,  , TS, 14.0N,  49.0W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690915, 1800,  , HU, 14.5N,  49.5W,  75,  992, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690916, 0000,  , HU, 15.0N,  50.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690916, 0600,  , HU, 15.3N,  50.2W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690916, 1200,  , HU, 15.5N,  50.4W,  65,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690916, 1800,  , HU, 16.0N,  50.9W,  70,  984, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690917, 0000,  , HU, 16.4N,  51.2W,  65,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690917, 0600,  , HU, 16.6N,  51.7W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690917, 1200,  , HU, 16.9N,  52.2W,  65, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690917, 1800,  , HU, 17.0N,  53.1W,  65, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690918, 0000,  , TS, 17.1N,  53.8W,  45, 1004, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690918, 0600,  , TS, 17.0N,  54.3W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690918, 1200,  , TS, 16.9N,  55.2W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690918, 1800,  , TS, 16.8N,  55.3W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690919, 0000,  , TD, 16.7N,  55.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690919, 0600,  , TD, 16.4N,  58.7W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690919, 1200,  , TD, 16.2N,  60.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690919, 1800,  , TD, 15.9N,  61.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690920, 0000,  , TD, 15.8N,  62.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690920, 0600,  , TD, 15.5N,  63.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690920, 1200,  , TD, 15.3N,  64.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690920, 1800,  , TD, 15.0N,  65.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690921, 0000,  , TD, 14.8N,  65.9W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
