AL201969,               INGA,     99,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19690920, 1200,  , TD, 16.0N,  47.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690920, 1800,  , TD, 16.3N,  48.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690921, 0000,  , TD, 16.5N,  49.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690921, 0600,  , TS, 16.7N,  50.2W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690921, 1200,  , TS, 16.8N,  51.1W,  40, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690921, 1800,  , TS, 16.9N,  51.7W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690922, 0000,  , TS, 17.0N,  52.3W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690922, 0600,  , TS, 17.1N,  52.9W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690922, 1200,  , TS, 17.2N,  53.5W,  50, 1007, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690922, 1800,  , TS, 17.3N,  54.1W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690923, 0000,  , TS, 17.4N,  54.7W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690923, 0600,  , TS, 17.6N,  55.4W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690923, 1200,  , TS, 17.8N,  56.1W,  35, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690923, 1800,  , TD, 18.0N,  56.9W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690924, 0000,  , TD, 18.2N,  57.8W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690924, 0600,  , TD, 18.4N,  58.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690924, 1200,  , TD, 18.6N,  59.6W,  25, 1007, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690924, 1800,  , TD, 18.8N,  60.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690925, 0000,  , TD, 19.0N,  60.9W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690925, 0600,  , TD, 19.3N,  61.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690925, 1200,  , TD, 19.6N,  62.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690925, 1800,  , TD, 20.0N,  62.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690926, 0000,  , TD, 20.4N,  62.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690926, 0600,  , TD, 20.8N,  62.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690926, 1200,  , TD, 21.2N,  63.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690926, 1800,  , TD, 21.6N,  63.2W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690927, 0000,  , TD, 21.9N,  63.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690927, 0600,  , TD, 22.2N,  63.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690927, 1200,  , TD, 22.5N,  63.6W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690927, 1800,  , TD, 22.8N,  63.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690928, 0000,  , TD, 23.0N,  63.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690928, 0600,  , TD, 23.2N,  63.9W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690928, 1200,  , TD, 23.5N,  64.0W,  30, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690928, 1800,  , TS, 23.8N,  64.2W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690929, 0000,  , TS, 24.2N,  64.4W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690929, 0600,  , TS, 24.5N,  64.6W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690929, 1200,  , TS, 24.8N,  64.8W,  50,  992, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690929, 1800,  , TS, 25.4N,  65.0W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690930, 0000,  , HU, 26.1N,  64.7W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690930, 0600,  , HU, 26.7N,  64.2W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690930, 1200,  , HU, 27.2N,  63.8W,  75,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19690930, 1800,  , HU, 27.8N,  63.4W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691001, 0000,  , HU, 28.3N,  63.0W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691001, 0600,  , HU, 28.8N,  62.6W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691001, 1200,  , HU, 29.3N,  62.2W,  80,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691001, 1800,  , HU, 29.7N,  61.8W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691002, 0000,  , HU, 29.7N,  61.6W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691002, 0600,  , HU, 29.3N,  61.5W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691002, 1200,  , HU, 28.9N,  61.6W,  80,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691002, 1800,  , HU, 28.5N,  61.8W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691003, 0000,  , HU, 28.1N,  62.1W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691003, 0600,  , HU, 27.8N,  62.7W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691003, 1200,  , HU, 27.6N,  63.4W,  70,  989, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691003, 1800,  , HU, 27.6N,  64.2W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691004, 0000,  , HU, 27.7N,  65.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691004, 0600,  , HU, 27.9N,  65.4W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691004, 1200,  , HU, 28.4N,  65.7W,  75,  980, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691004, 1800,  , HU, 29.1N,  65.1W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691005, 0000,  , HU, 29.7N,  63.8W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691005, 0600,  , HU, 30.5N,  62.3W,  95, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691005, 1200,  , HU, 31.2N,  60.7W,  95,  964, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691005, 1800,  , HU, 31.9N,  59.5W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691006, 0000,  , HU, 32.5N,  58.3W,  95, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691006, 0600,  , HU, 33.1N,  57.3W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691006, 1200,  , HU, 33.6N,  56.5W,  80,  980, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691006, 1800,  , HU, 33.9N,  56.0W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691007, 0000,  , HU, 34.1N,  55.5W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691007, 0600,  , HU, 34.3N,  55.0W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691007, 1200,  , HU, 34.4N,  54.5W,  85,  981, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691007, 1800,  , HU, 34.5N,  54.0W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691008, 0000,  , HU, 34.5N,  53.6W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691008, 0600,  , HU, 34.4N,  53.2W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691008, 1200,  , HU, 34.3N,  52.8W,  65,  988, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691008, 1800,  , HU, 34.1N,  52.4W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691009, 0000,  , HU, 33.9N,  52.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691009, 0600,  , HU, 33.3N,  51.7W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691009, 1200,  , HU, 32.7N,  51.5W,  75,  985, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691009, 1800,  , HU, 32.2N,  51.4W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691010, 0000,  , HU, 31.7N,  51.3W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691010, 0600,  , HU, 31.2N,  51.2W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691010, 1200,  , TS, 30.6N,  51.1W,  60,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691010, 1800,  , TS, 30.0N,  51.0W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691011, 0000,  , TS, 29.3N,  51.4W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691011, 0600,  , TS, 28.7N,  51.9W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691011, 1200,  , TS, 28.2N,  52.5W,  50,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691011, 1800,  , TS, 27.7N,  53.1W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691012, 0000,  , TS, 27.2N,  53.9W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691012, 0600,  , TS, 26.8N,  54.7W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691012, 1200,  , TS, 26.4N,  55.5W,  35, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691012, 1800,  , TS, 26.2N,  56.3W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691013, 0000,  , TS, 26.0N,  57.1W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
