AL251969,               KARA,     48,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19691007, 1200,  , TD, 20.5N,  68.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691007, 1800,  , TD, 20.7N,  69.2W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691008, 0000,  , TD, 20.9N,  70.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691008, 0600,  , TD, 21.1N,  70.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691008, 1200,  , TD, 21.3N,  72.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691008, 1800,  , TD, 22.5N,  73.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691009, 0000,  , TD, 23.5N,  73.6W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691009, 0600,  , TD, 24.7N,  73.7W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691009, 1200,  , TD, 25.7N,  73.6W,  30, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691009, 1800,  , TS, 27.2N,  73.3W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691010, 0000,  , TS, 27.9N,  72.8W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691010, 0600,  , TS, 28.4N,  72.4W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691010, 1200,  , TS, 28.7N,  72.1W,  40, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691010, 1800,  , TS, 29.5N,  71.3W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691011, 0000,  , TS, 29.9N,  70.5W,  35,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691011, 0600,  , TS, 30.7N,  69.8W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
