AL261969,             LAURIE,     42,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19691017, 0000,  , TD, 17.3N,  85.1W,  25, 1007, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691017, 0600,  , TD, 17.6N,  85.4W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691017, 1200,  , TD, 17.9N,  85.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691017, 1800,  , TD, 18.1N,  85.9W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691018, 0000,  , TD, 18.3N,  86.1W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691018, 0600,  , TD, 18.7N,  86.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691018, 1200,  , TD, 19.1N,  86.9W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691018, 1800,  , TD, 19.7N,  87.6W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691019, 0000,  , TD, 20.4N,  88.3W,  30, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691019, 0600,  , TD, 21.0N,  89.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691019, 1200,  , TS, 21.5N,  89.5W,  45, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691019, 1800,  , TS, 22.4N,  90.2W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691020, 0000,  , TS, 23.3N,  90.8W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691020, 0600,  , TS, 23.8N,  90.9W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691020, 1200,  , HU, 24.3N,  91.0W,  65,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691020, 1800,  , HU, 24.9N,  91.1W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691021, 0000,  , HU, 25.8N,  91.0W,  70,  973, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
