AL291969,             MARTHA,     17,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19691121, 1200,  , TS, 10.3N,  81.0W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691121, 1800,  , TS, 10.3N,  81.0W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691122, 0000,  , HU, 10.3N,  81.0W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691122, 0600,  , HU, 10.3N,  81.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691122, 1200,  , HU, 10.3N,  81.0W,  80,  979, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691122, 1800,  , HU, 10.2N,  81.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691123, 0000,  , HU, 10.1N,  81.0W,  70,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691123, 0600,  , HU, 10.0N,  81.0W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691123, 1200,  , TS,  9.8N,  81.0W,  60,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691123, 1800,  , TS,  9.6N,  81.0W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691124, 0000,  , TS,  9.4N,  81.0W,  60, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691124, 0600,  , TS,  9.2N,  81.0W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691124, 1200,  , TS,  9.0N,  81.0W,  60, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691124, 1800,  , TS,  8.8N,  81.1W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691125, 0000,  , TD,  8.7N,  81.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691125, 0600,  , TD,  8.6N,  81.6W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19691125, 1200,  , TD,  8.5N,  82.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
