AL121970,               ELLA,     20,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19700908, 1200,  , TD, 15.3N,  83.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700908, 1800,  , TD, 16.0N,  83.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700909, 0000,  , TD, 16.6N,  84.2W,  20, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700909, 0600,  , TD, 17.2N,  84.6W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700909, 1200,  , TD, 17.7N,  85.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700909, 1800,  , TD, 18.6N,  85.7W,  30, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700910, 0000,  , TD, 19.4N,  86.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700910, 0600,  , TD, 20.0N,  86.8W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700910, 1200,  , TD, 20.8N,  87.6W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700910, 1800,  , TS, 22.0N,  89.0W,  50,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700911, 0000,  , HU, 23.0N,  90.8W,  65,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700911, 0600,  , HU, 23.6N,  92.6W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700911, 1200,  , HU, 23.9N,  94.2W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700911, 1800,  , HU, 24.0N,  95.5W,  80,  984, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700912, 0000,  , HU, 23.9N,  96.5W,  85,  973, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700912, 0600,  , HU, 23.8N,  97.4W, 105,  967, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700912, 1200,  , HU, 23.9N,  97.9W, 110,  967, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700912, 1800,  , HU, 24.0N,  98.5W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700913, 0000,  , TS, 23.9N,  99.6W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700913, 0600,  , TS, 24.2N, 100.5W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
