AL131970,             FELICE,     23,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19700912, 0000,  , TD, 25.5N,  77.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700912, 0600,  , TD, 25.4N,  77.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700912, 1200,  , TD, 25.4N,  78.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700912, 1800,  , TD, 25.3N,  78.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700913, 0000,  , TD, 25.3N,  78.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700913, 0600,  , TD, 25.2N,  79.1W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700913, 1200,  , TD, 25.0N,  80.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700913, 1800,  , TD, 24.9N,  81.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700914, 0000,  , TD, 24.8N,  82.0W,  30, 1011, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700914, 0600,  , TD, 24.9N,  83.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700914, 1200,  , TD, 25.3N,  84.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700914, 1800,  , TD, 25.8N,  85.2W,  30, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700915, 0000,  , TS, 26.5N,  86.5W,  45, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700915, 0600,  , TS, 27.2N,  88.4W,  50, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700915, 1200,  , TS, 28.0N,  90.2W,  50, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700915, 1800,  , TS, 28.8N,  92.2W,  55,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700916, 0000,  , TS, 29.4N,  94.1W,  60,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700916, 0600,  , TS, 29.9N,  95.5W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700916, 1200,  , TD, 30.6N,  96.5W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700916, 1800,  , TD, 31.4N,  97.1W,  30, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700917, 0000,  , TD, 32.2N,  97.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700917, 0600,  , TD, 33.0N,  97.6W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700917, 1200,  , TD, 33.8N,  97.2W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
