AL131995,               LUIS,     66,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19950827, 1200,  , TD, 11.3N,  22.7W,  25, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950827, 1800,  , TD, 11.1N,  23.8W,  25, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950828, 0000,  , TD, 11.0N,  24.3W,  25, 1009, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950828, 0600,  , TD, 10.9N,  24.9W,  25, 1009, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950828, 1200,  , TD, 11.1N,  26.0W,  30, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950828, 1800,  , TD, 11.4N,  27.5W,  30, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950829, 0000,  , TS, 11.6N,  29.0W,  35, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950829, 0600,  , TS, 11.8N,  30.5W,  40, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950829, 1200,  , TS, 12.2N,  31.9W,  40, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950829, 1800,  , TS, 12.7N,  33.1W,  40, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950830, 0000,  , TS, 13.0N,  34.2W,  40, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950830, 0600,  , TS, 13.2N,  35.3W,  45, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950830, 1200,  , TS, 13.4N,  36.2W,  55, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950830, 1800,  , HU, 13.7N,  37.0W,  65, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950831, 0000,  , HU, 14.0N,  37.9W,  70,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950831, 0600,  , HU, 14.3N,  38.8W,  80,  992, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950831, 1200,  , HU, 14.6N,  39.7W,  85,  979, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950831, 1800,  , HU, 15.0N,  40.7W,  95,  971, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950901, 0000,  , HU, 15.4N,  41.7W, 100,  965, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950901, 0600,  , HU, 15.8N,  42.6W, 105,  958, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950901, 1200,  , HU, 16.2N,  43.6W, 115,  950, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950901, 1800,  , HU, 16.5N,  44.7W, 115,  948, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950902, 0000,  , HU, 16.8N,  45.8W, 115,  948, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950902, 0600,  , HU, 17.0N,  46.9W, 115,  948, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950902, 1200,  , HU, 17.2N,  48.0W, 115,  948, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950902, 1800,  , HU, 17.3N,  49.2W, 115,  948, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950903, 0000,  , HU, 17.3N,  50.5W, 115,  948, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950903, 0600,  , HU, 17.4N,  51.8W, 120,  948, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950903, 1200,  , HU, 17.3N,  53.1W, 120,  948, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950903, 1800,  , HU, 17.3N,  54.3W, 120,  945, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950904, 0000,  , HU, 17.1N,  55.6W, 120,  942, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950904, 0600,  , HU, 17.0N,  56.8W, 120,  940, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950904, 1200,  , HU, 17.0N,  58.0W, 120,  945, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950904, 1800,  , HU, 17.0N,  59.1W, 120,  943, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950905, 0000,  , HU, 17.1N,  60.1W, 120,  940, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950905, 0600,  , HU, 17.3N,  61.0W, 120,  939, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950905, 1200, L, HU, 17.5N,  61.7W, 115,  945, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950905, 1800,  , HU, 18.0N,  62.4W, 115,  944, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950906, 0000,  , HU, 18.4N,  63.0W, 115,  942, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950906, 0600,  , HU, 18.9N,  63.6W, 115,  939, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950906, 1200,  , HU, 19.4N,  64.2W, 115,  943, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950906, 1800,  , HU, 20.1N,  64.9W, 115,  940, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950907, 0000,  , HU, 20.7N,  65.4W, 115,  938, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950907, 0600,  , HU, 21.3N,  66.0W, 115,  936, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950907, 1200,  , HU, 22.0N,  66.6W, 110,  941, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950907, 1800,  , HU, 22.8N,  67.2W, 110,  938, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950908, 0000,  , HU, 24.3N,  68.0W, 110,  935, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950908, 0600,  , HU, 25.8N,  68.8W, 110,  939, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950908, 1200,  , HU, 26.4N,  69.3W, 105,  941, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950908, 1800,  , HU, 26.5N,  69.5W, 100,  944, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950909, 0000,  , HU, 27.1N,  69.8W,  95,  945, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950909, 0600,  , HU, 29.1N,  69.5W,  90,  949, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950909, 1200,  , HU, 31.0N,  69.1W,  85,  952, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950909, 1800,  , HU, 32.7N,  68.6W,  85,  955, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950910, 0000,  , HU, 34.5N,  67.2W,  85,  959, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950910, 0600,  , HU, 36.5N,  65.4W,  85,  963, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950910, 1200,  , HU, 38.4N,  63.7W,  80,  961, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950910, 1800,  , HU, 40.9N,  60.9W,  80,  966, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950911, 0000,  , HU, 43.9N,  57.7W,  80,  965, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950911, 0600,  , HU, 47.1N,  54.2W,  80,  963, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
