AL161995,               NOEL,     45,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
19950926, 1800,  , TD, 10.4N,  37.7W,  25, 1007, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950927, 0000,  , TD, 10.9N,  39.0W,  30, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950927, 0600,  , TD, 11.4N,  40.0W,  30, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950927, 1200,  , TS, 12.1N,  40.6W,  35, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950927, 1800,  , TS, 12.8N,  41.0W,  40, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950928, 0000,  , TS, 13.5N,  41.5W,  45, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950928, 0600,  , TS, 14.0N,  42.0W,  50,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950928, 1200,  , TS, 14.5N,  42.4W,  60,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950928, 1800,  , HU, 15.2N,  42.6W,  65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950929, 0000,  , HU, 15.9N,  42.6W,  65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950929, 0600,  , HU, 16.5N,  42.2W,  65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950929, 1200,  , HU, 17.4N,  41.9W,  65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950929, 1800,  , HU, 18.2N,  41.2W,  65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950930, 0000,  , HU, 18.9N,  40.6W,  65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950930, 0600,  , HU, 19.4N,  40.3W,  65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950930, 1200,  , TS, 19.7N,  40.2W,  60,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19950930, 1800,  , TS, 19.8N,  40.1W,  55,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951001, 0000,  , TS, 19.9N,  40.2W,  50,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951001, 0600,  , TS, 20.0N,  40.3W,  50,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951001, 1200,  , TS, 20.1N,  40.4W,  45, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951001, 1800,  , TS, 20.5N,  40.4W,  45, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951002, 0000,  , TS, 20.9N,  40.2W,  45, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951002, 0600,  , TS, 21.5N,  40.1W,  45, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951002, 1200,  , TS, 22.4N,  40.0W,  45, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951002, 1800,  , TS, 23.5N,  40.1W,  45, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951003, 0000,  , TS, 24.7N,  40.3W,  45, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951003, 0600,  , TS, 25.7N,  41.0W,  40, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951003, 1200,  , TS, 26.7N,  41.8W,  45, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951003, 1800,  , TS, 27.6N,  42.4W,  45, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951004, 0000,  , TS, 28.5N,  42.8W,  45,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951004, 0600,  , TS, 29.5N,  43.1W,  50,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951004, 1200,  , TS, 30.4N,  43.1W,  50,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951004, 1800,  , TS, 31.3N,  43.0W,  55,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951005, 0000,  , HU, 31.9N,  42.7W,  65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951005, 0600,  , HU, 32.2N,  42.3W,  65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951005, 1200,  , HU, 32.4N,  41.5W,  65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951005, 1800,  , HU, 32.4N,  40.5W,  65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951006, 0000,  , TS, 32.5N,  39.4W,  60,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951006, 0600,  , TS, 32.5N,  38.2W,  55,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951006, 1200,  , TS, 32.5N,  36.9W,  50,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951006, 1800,  , TS, 32.7N,  35.3W,  40, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951007, 0000,  , TS, 33.2N,  33.5W,  35, 1004, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951007, 0600,  , EX, 34.0N,  31.0W,  30, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951007, 1200,  , EX, 35.0N,  29.5W,  30,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19951007, 1800,  , EX, 36.0N,  28.0W,  30,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
