AL082003,              ERIKA,     11,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
20030814, 1800,  , TS, 26.4N,  83.3W,  35, 1011, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20030815, 0000,  , TS, 26.6N,  85.7W,  40, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20030815, 0600,  , TS, 26.4N,  88.3W,  40, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20030815, 1200,  , TS, 26.1N,  90.5W,  45, 1007, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20030815, 1800,  , TS, 26.0N,  92.5W,  50, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20030816, 0000,  , TS, 25.9N,  94.4W,  55,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20030816, 0600,  , TS, 25.6N,  96.2W,  60,  988, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20030816, 1030, L, HU, 25.3N,  97.4W,  65,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20030816, 1200,  , HU, 25.2N,  97.6W,  65,  988, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20030816, 1800,  , TS, 24.8N,  98.9W,  35, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20030817, 0000,  , TD, 24.7N, 100.3W,  25, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
