AL072007,          GABRIELLE,     15,
date, time, special, type, lat, lon, wind, pressure, size351, size352, size353, size354, size501, size502, size503, size504, size641, size642, size643, size644,
20070908, 0000,  , SS, 30.1N,  71.8W,  40, 1011,  125,    0,    0,  125,    0,    0,    0,    0,    0,    0,    0,    0,
20070908, 0600,  , SS, 30.5N,  72.8W,  40, 1010,  100,    0,    0,  100,    0,    0,    0,    0,    0,    0,    0,    0,
20070908, 1200,  , SS, 31.1N,  73.8W,  35, 1010,  100,    0,    0,  100,    0,    0,    0,    0,    0,    0,    0,    0,
20070908, 1800,  , TS, 31.8N,  74.6W,  35, 1009,   50,    0,    0,   90,    0,    0,    0,    0,    0,    0,    0,    0,
20070909, 0000,  , TS, 32.6N,  75.4W,  40, 1007,   40,   20,    0,   75,    0,    0,    0,    0,    0,    0,    0,    0,
20070909, 0600,  , TS, 33.5N,  76.0W,  45, 1004,   30,   20,   40,   40,    0,    0,    0,    0,    0,    0,    0,    0,
20070909, 1200,  , TS, 34.3N,  76.4W,  50, 1004,   30,   30,   40,   30,    0,    0,   15,    0,    0,    0,    0,    0,
20070909, 1530, L, TS, 34.8N,  76.4W,  50, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20070909, 1800,  , TS, 35.2N,  76.3W,  45, 1006,   45,   60,   40,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20070910, 0000,  , TS, 36.0N,  75.8W,  40, 1007,   30,   75,   75,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20070910, 0600,  , TD, 36.7N,  75.0W,  30, 1008,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20070910, 1200,  , TD, 37.1N,  73.8W,  30, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20070910, 1800,  , TD, 37.5N,  72.0W,  30, 1010,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20070911, 0000,  , TD, 37.9N,  70.0W,  30, 1010,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20070911, 0600,  , TD, 38.4N,  68.0W,  30, 1010,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
